------+--------------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
 Line | # File              Line | Line Type   | MX |  Reloc  | Size | Address   Object Code |  Source Code                                                      
------+--------------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
    1 |  1   adbdevices.s      1 | Comment     | 11 |         |   -1 | 00/FFFF               | *
    2 |  1   adbdevices.s      2 | Comment     | 11 |         |   -1 | 00/FFFF               | * ADB Devices
    3 |  1   adbdevices.s      3 | Comment     | 11 |         |   -1 | 00/FFFF               | * Show all connected devices
    4 |  1   adbdevices.s      4 | Comment     | 11 |         |   -1 | 00/FFFF               | *
    5 |  1   adbdevices.s      5 | Comment     | 11 |         |   -1 | 00/FFFF               | * (c) 2026, Brutal Deluxe Software
    6 |  1   adbdevices.s      6 | Comment     | 11 |         |   -1 | 00/FFFF               | * Visit brutaldeluxe.fr
    7 |  1   adbdevices.s      7 | Comment     | 11 |         |   -1 | 00/FFFF               | *
    8 |  1   adbdevices.s      8 | Empty       | 11 |         |   -1 | 00/FFFF               |                                                
    9 |  1   adbdevices.s      9 | Directive   | 11 |         |   -1 | 00/FFFF               |                       xc                       
   10 |  1   adbdevices.s     10 | Directive   | 11 |         |   -1 | 00/FFFF               |                       xc                       
   11 |  1   adbdevices.s     11 | Directive   | 00 |         |   -1 | 00/FFFF               |                       mx        %00            
   12 |  1   adbdevices.s     12 | Empty       | 00 |         |   -1 | 00/FFFF               |                                                
   13 |  1   adbdevices.s     13 | Directive   | 00 |         |   -1 | 00/FFFF               |                       rel                      
   14 |  1   adbdevices.s     14 | Directive   | 00 |         |   -1 | 00/FFFF               |                       dsk       adbdevices.l   
   15 |  1   adbdevices.s     15 | Directive   | 00 |         |   -1 | 00/FFFF               |                       lst       off            
   16 |  1   adbdevices.s     16 | Empty       | 00 |         |   -1 | 00/FFFF               |                                                
   17 |  1   adbdevices.s     17 | Comment     | 00 |         |   -1 | 00/FFFF               | *----------
   18 |  1   adbdevices.s     18 | Empty       | 00 |         |   -1 | 00/FFFF               |                                                
   19 |  1   adbdevices.s     19 | Directive   | 00 |         |   -1 | 00/FFFF               |                       use       4/ADB.Macs     
   20 |  1   adbdevices.s     20 | Directive   | 00 |         |   -1 | 00/FFFF               |                       use       4/Int.Macs     
   21 |  1   adbdevices.s     21 | Directive   | 00 |         |   -1 | 00/FFFF               |                       use       4/Locator.Macs 
   22 |  1   adbdevices.s     22 | Directive   | 00 |         |   -1 | 00/FFFF               |                       use       4/Mem.Macs     
   23 |  1   adbdevices.s     23 | Directive   | 00 |         |   -1 | 00/FFFF               |                       use       4/Misc.Macs    
   24 |  1   adbdevices.s     24 | Directive   | 00 |         |   -1 | 00/FFFF               |                       use       4/Text.Macs    
   25 |  1   adbdevices.s     25 | Directive   | 00 |         |   -1 | 00/FFFF               |                       use       4/Util.Macs    
   26 |  1   adbdevices.s     26 | Empty       | 00 |         |   -1 | 00/FFFF               |                                                
   27 |  1   adbdevices.s     27 | Equivalence | 00 |         |   -1 | 00/FFFF               | Debut                 =         $00            
   28 |  1   adbdevices.s     28 | Equivalence | 00 |         |   -1 | 00/FFFF               | Arrivee               =         $04            
   29 |  1   adbdevices.s     29 | Empty       | 00 |         |   -1 | 00/FFFF               |                                                
   30 |  1   adbdevices.s     30 | Equivalence | 00 |         |   -1 | 00/FFFF               | GSOS                  =         $e100a8        
   31 |  1   adbdevices.s     31 | Empty       | 00 |         |   -1 | 00/FFFF               |                                                
   32 |  1   adbdevices.s     32 | Comment     | 00 |         |   -1 | 00/FFFF               | *----------
   33 |  1   adbdevices.s     33 | Empty       | 00 |         |   -1 | 00/FFFF               |                                                
   34 |  1   adbdevices.s     34 | Equivalence | 00 |         |   -1 | 00/FFFF               | maxDEVICES            =         16             ; really 15 b/c 0 is reserved
   35 |  1   adbdevices.s     35 | Empty       | 00 |         |   -1 | 00/FFFF               |                                                
   36 |  1   adbdevices.s     36 | Comment     | 00 |         |   -1 | 00/FFFF               | *----------
   37 |  1   adbdevices.s     37 | Empty       | 00 |         |   -1 | 00/FFFF               |                                                
   38 |  1   adbdevices.s     38 | Code        | 00 |         |   -1 | 00/FFFF : 00          |                       phk                      
   39 |  1   adbdevices.s     39 | Code        | 00 |         |   -1 | 00/FFFF : 00          |                       plb                      
   40 |  1   adbdevices.s     40 | Empty       | 00 |         |   -1 | 00/FFFF               |                                                
   41 |  1   adbdevices.s     41 | Code        | 00 |         |   -1 | 00/FFFF : 00          |                       tdc                      
   42 |  1   adbdevices.s     42 | Code        | 00 |         |   -1 | 00/FFFF : 00          |                       sta       myDP           
   43 |  1   adbdevices.s     43 | Empty       | 00 |         |   -1 | 00/FFFF               |                                                
   44 |  1   adbdevices.s     44 | Macro       | 00 |         |   -1 | 00/FFFF               |                       _TLStartUp                 
    0 |  1   adbdevices.s     44 | Code        | 00 |         |   -1 | 00/FFFF : 00          |                       LDX       #$201          ; load tool call #
    0 |  1   adbdevices.s     44 | Code        | 00 |         |   -1 | 00/FFFF : 00          |                       JSL       $E10000        ; go to dispatcher
   45 |  1   adbdevices.s     45 | Code        | 00 |         |   -1 | 00/FFFF : 00          |                       pha                      
   46 |  1   adbdevices.s     46 | Macro       | 00 |         |   -1 | 00/FFFF               |                       _MMStartUp                 
    0 |  1   adbdevices.s     46 | Code        | 00 |         |   -1 | 00/FFFF : 00          |                       LDX       #$202          ; load tool call #
    0 |  1   adbdevices.s     46 | Code        | 00 |         |   -1 | 00/FFFF : 00          |                       JSL       $E10000        ; go to dispatcher
   47 |  1   adbdevices.s     47 | Code        | 00 |         |   -1 | 00/FFFF : 00          |                       pla                      
   48 |  1   adbdevices.s     48 | Code        | 00 |         |   -1 | 00/FFFF : 00          |                       sta       appID          
   49 |  1   adbdevices.s     49 | Code        | 00 |         |   -1 | 00/FFFF : 00          |                       ora       #$0100         
   50 |  1   adbdevices.s     50 | Code        | 00 |         |   -1 | 00/FFFF : 00          |                       sta       myID           
   51 |  1   adbdevices.s     51 | Empty       | 00 |         |   -1 | 00/FFFF               |                                                
   52 |  1   adbdevices.s     52 | Macro       | 00 |         |   -1 | 00/FFFF               |                       _MTStartUp                 
    0 |  1   adbdevices.s     52 | Code        | 00 |         |   -1 | 00/FFFF : 00          |                       LDX       #$203          ; load tool call #
    0 |  1   adbdevices.s     52 | Code        | 00 |         |   -1 | 00/FFFF : 00          |                       JSL       $E10000        ; go to dispatcher
   53 |  1   adbdevices.s     53 | Macro       | 00 |         |   -1 | 00/FFFF               |                       _TextStartUp                 
    0 |  1   adbdevices.s     53 | Code        | 00 |         |   -1 | 00/FFFF : 00          |                       LDX       #$20C          ; load tool call #
    0 |  1   adbdevices.s     53 | Code        | 00 |         |   -1 | 00/FFFF : 00          |                       JSL       $E10000        ; go to dispatcher
   54 |  1   adbdevices.s     54 | Macro       | 00 |         |   -1 | 00/FFFF               |                       _IMStartUp                 
    0 |  1   adbdevices.s     54 | Code        | 00 |         |   -1 | 00/FFFF : 00          |                       LDX       #$20B          ; load tool call #
    0 |  1   adbdevices.s     54 | Code        | 00 |         |   -1 | 00/FFFF : 00          |                       JSL       $E10000        ; go to dispatcher
   55 |  1   adbdevices.s     55 | Macro       | 00 |         |   -1 | 00/FFFF               |                       _ADBStartUp                 
    0 |  1   adbdevices.s     55 | Code        | 00 |         |   -1 | 00/FFFF : 00          |                       LDX       #$209          ; load tool call #
    0 |  1   adbdevices.s     55 | Code        | 00 |         |   -1 | 00/FFFF : 00          |                       JSL       $E10000        ; go to dispatcher
   56 |  1   adbdevices.s     56 | Empty       | 00 |         |   -1 | 00/FFFF               |                                                
   57 |  1   adbdevices.s     57 | Comment     | 00 |         |   -1 | 00/FFFF               | *----------
   58 |  1   adbdevices.s     58 | Empty       | 00 |         |   -1 | 00/FFFF               |                                                
