------+---------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
 Line | # File         Line | Line Type   | MX |  Reloc  | Size | Address   Object Code |  Source Code                                                      
------+---------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
    1 |  1 restore.s      1 | Comment     | 11 |         |    0 | 00/8000               | *
    2 |  1 restore.s      2 | Comment     | 11 |         |    0 | 00/8000               | * AppleSqueezer in 16-bit assembly
    3 |  1 restore.s      3 | Comment     | 11 |         |    0 | 00/8000               | *
    4 |  1 restore.s      4 | Comment     | 11 |         |    0 | 00/8000               | * (c) 2022, Niek van Suchtelen
    5 |  1 restore.s      5 | Comment     | 11 |         |    0 | 00/8000               | * (a) 2025, Brutal Deluxe Software
    6 |  1 restore.s      6 | Comment     | 11 |         |    0 | 00/8000               | *
    7 |  1 restore.s      7 | Empty       | 11 |         |    0 | 00/8000               |                                                      
    8 |  1 restore.s      8 | Directive   | 11 |         |    0 | 00/8000               |                               mx    %11              
    9 |  1 restore.s      9 | Directive   | 11 |         |    0 | 00/8000               |                               org   $2000            
   10 |  1 restore.s     10 | Directive   | 11 |         |    0 | 00/2000               |                               typ   SYS              
   11 |  1 restore.s     11 | Directive   | 11 |         |    0 | 00/2000               |                               dsk   restore.system   
   12 |  1 restore.s     12 | Directive   | 11 |         |    0 | 00/2000               |                               lst   off              
   13 |  1 restore.s     13 | Empty       | 11 |         |    0 | 00/2000               |                                                      
   14 |  1 restore.s     14 | Comment     | 11 |         |    0 | 00/2000               | *-----------------------------------
   15 |  1 restore.s     15 | Comment     | 11 |         |    0 | 00/2000               | * APPLESQUEEZER EQUATES
   16 |  1 restore.s     16 | Comment     | 11 |         |    0 | 00/2000               | *-----------------------------------
   17 |  1 restore.s     17 | Empty       | 11 |         |    0 | 00/2000               |                                                      
   18 |  1 restore.s     18 | Comment     | 11 |         |    0 | 00/2000               | * data
   19 |  1 restore.s     19 | Comment     | 11 |         |    0 | 00/2000               | * bit 0: 1 if Acceralation is enabled
   20 |  1 restore.s     20 | Comment     | 11 |         |    0 | 00/2000               | * bit 1: 1 if Built-RAM is enabled
   21 |  1 restore.s     21 | Comment     | 11 |         |    0 | 00/2000               | * bit 2: 1 if Extra RAM is enabled
   22 |  1 restore.s     22 | Comment     | 11 |         |    0 | 00/2000               | * bit 3-7: values unknown
   23 |  1 restore.s     23 | Empty       | 11 |         |    0 | 00/2000               |                                                      
   24 |  1 restore.s     24 | Equivalence | 11 |         |    0 | 00/2000               | FL_WRITE                      =     $e20000          
   25 |  1 restore.s     25 | Equivalence | 11 |         |    0 | 00/2000               | FL_READ_REQUEST               =     $e20002          
   26 |  1 restore.s     26 | Equivalence | 11 |         |    0 | 00/2000               | FL_READ                       =     $e20004          
