------+----------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
 Line | # File          Line | Line Type   | MX |  Reloc  | Size | Address   Object Code |  Source Code                                                      
------+----------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
    1 |  1   palmer.s      1 | Comment     | 11 |         |    0 | 00/0000               | *
    2 |  1   palmer.s      2 | Comment     | 11 |         |    0 | 00/0000               | * Bill Palmer
    3 |  1   palmer.s      3 | Comment     | 11 |         |    0 | 00/0000               | *
    4 |  1   palmer.s      4 | Comment     | 11 |         |    0 | 00/0000               | * (c) 1987, François Coulon
    5 |  1   palmer.s      5 | Comment     | 11 |         |    0 | 00/0000               | * (c) 2021, Brutal Deluxe
    6 |  1   palmer.s      6 | Comment     | 11 |         |    0 | 00/0000               | *
    7 |  1   palmer.s      7 | Empty       | 11 |         |    0 | 00/0000               |                                                           
    8 |  1   palmer.s      8 | Directive   | 11 |         |    0 | 00/0000               |                            lst       off                  
    9 |  1   palmer.s      9 | Directive   | 11 |         |    0 | 00/0000               |                            rel                            
   10 |  1   palmer.s     10 | Directive   | 11 |         |    0 | 00/0000               |                            dsk       palmer.l             
   11 |  1   palmer.s     11 | Empty       | 11 |         |    0 | 00/0000               |                                                           
   12 |  1   palmer.s     12 | Directive   | 00 |         |    0 | 00/0000               |                            mx        %00                  
   13 |  1   palmer.s     13 | Directive   | 00 |         |    0 | 00/0000               |                            xc                             
   14 |  1   palmer.s     14 | Directive   | 00 |         |    0 | 00/0000               |                            xc                             
   15 |  1   palmer.s     15 | Empty       | 00 |         |    0 | 00/0000               |                                                           
   16 |  1   palmer.s     16 | Comment     | 00 |         |    0 | 00/0000               | *----------------------------------- Macros
   17 |  1   palmer.s     17 | Empty       | 00 |         |    0 | 00/0000               |                                                           
   18 |  1   palmer.s     18 | Directive   | 00 |         |    0 | 00/0000               |                            use       4/Ctl.Macs           
   19 |  1   palmer.s     19 | Directive   | 00 |         |    0 | 00/0000               |                            use       4/Desk.Macs          
   20 |  1   palmer.s     20 | Directive   | 00 |         |    0 | 00/0000               |                            use       4/Event.Macs         
   21 |  1   palmer.s     21 | Directive   | 00 |         |    0 | 00/0000               |                            use       4/Int.Macs           
   22 |  1   palmer.s     22 | Directive   | 00 |         |    0 | 00/0000               |                            use       4/Line.Macs          
   23 |  1   palmer.s     23 | Directive   | 00 |         |    0 | 00/0000               |                            use       4/Locator.Macs       
   24 |  1   palmer.s     24 | Directive   | 00 |         |    0 | 00/0000               |                            use       4/Mem.Macs           
   25 |  1   palmer.s     25 | Directive   | 00 |         |    0 | 00/0000               |                            use       4/Menu.Macs          
   26 |  1   palmer.s     26 | Directive   | 00 |         |    0 | 00/0000               |                            use       4/MIDISyn.Macs       
   27 |  1   palmer.s     27 | Directive   | 00 |         |    0 | 00/0000               |                            use       4/Misc.Macs          
   28 |  1   palmer.s     28 | Directive   | 00 |         |    0 | 00/0000               |                            use       4/Print.Macs         
   29 |  1   palmer.s     29 | Directive   | 00 |         |    0 | 00/0000               |                            use       4/Qd.Macs            
   30 |  1   palmer.s     30 | Directive   | 00 |         |    0 | 00/0000               |                            use       4/QdAux.Macs         
   31 |  1   palmer.s     31 | Directive   | 00 |         |    0 | 00/0000               |                            use       4/Resource.Macs      
   32 |  1   palmer.s     32 | Directive   | 00 |         |    0 | 00/0000               |                            use       4/Scrap.Macs         
   33 |  1   palmer.s     33 | Directive   | 00 |         |    0 | 00/0000               |                            use       4/Sound.Macs         
   34 |  1   palmer.s     34 | Directive   | 00 |         |    0 | 00/0000               |                            use       4/Std.Macs           
   35 |  1   palmer.s     35 | Directive   | 00 |         |    0 | 00/0000               |                            use       4/TextEdit.Macs      
   36 |  1   palmer.s     36 | Directive   | 00 |         |    0 | 00/0000               |                            use       4/Util.Macs          
   37 |  1   palmer.s     37 | Directive   | 00 |         |    0 | 00/0000               |                            use       4/Window.Macs        
   38 |  1   palmer.s     38 | Empty       | 00 |         |    0 | 00/0000               |                                                           
   39 |  1   palmer.s     39 | Comment     | 00 |         |    0 | 00/0000               | *----------------------------------- Constantes
   40 |  1   palmer.s     40 | Empty       | 00 |         |    0 | 00/0000               |                                                           
   41 |  1   palmer.s     41 | Comment     | 00 |         |    0 | 00/0000               | *-------------- Softswitches
   42 |  1   palmer.s     42 | Empty       | 00 |         |    0 | 00/0000               |                                                           
   43 |  1   palmer.s     43 | Equivalence | 00 |         |    0 | 00/0000               | RDVBLBAR                   =         $E0C019              
   44 |  1   palmer.s     44 | Equivalence | 00 |         |    0 | 00/0000               | GSOS                       =         $e100a8              
   45 |  1   palmer.s     45 | Empty       | 00 |         |    0 | 00/0000               |                                                           
   46 |  1   palmer.s     46 | Comment     | 00 |         |    0 | 00/0000               | *-------------- GUI
   47 |  1   palmer.s     47 | Empty       | 00 |         |    0 | 00/0000               |                                                           
   48 |  1   palmer.s     48 | Equivalence | 00 |         |    0 | 00/0000               | wMAIN                      =         1                    
   49 |  1   palmer.s     49 | Equivalence | 00 |         |    0 | 00/0000               | alertQUIT                  =         1                    
   50 |  1   palmer.s     50 | Equivalence | 00 |         |    0 | 00/0000               | alertRESTART               =         2                    
   51 |  1   palmer.s     51 | Empty       | 00 |         |    0 | 00/0000               |                                                           
   52 |  1   palmer.s     52 | Equivalence | 00 |         |    0 | 00/0000               | refIsPointer               =         $0                   
   53 |  1   palmer.s     53 | Equivalence | 00 |         |    0 | 00/0000               | refIsHandle                =         $1                   
   54 |  1   palmer.s     54 | Equivalence | 00 |         |    0 | 00/0000               | refIsResource              =         $2                   
   55 |  1   palmer.s     55 | Empty       | 00 |         |    0 | 00/0000               |                                                           
   56 |  1   palmer.s     56 | Equivalence | 00 |         |    0 | 00/0000               | appleKey                   =         $0100                
   57 |  1   palmer.s     57 | Empty       | 00 |         |    0 | 00/0000               |                                                           
   58 |  1   palmer.s     58 | Comment     | 00 |         |    0 | 00/0000               | *--------------
   59 |  1   palmer.s     59 | Empty       | 00 |         |    0 | 00/0000               |                                                           
   60 |  1   palmer.s     60 | Equivalence | 00 |         |    0 | 00/0000               | dpFROM                     =         $00                  
   61 |  1   palmer.s     61 | Equivalence | 00 |         |    0 | 00/0000               | dpTO                       =         {$00}+4              
   62 |  1   palmer.s     62 | Equivalence | 00 |         |    0 | 00/0000               | Second                     =         {{$00}+4}+4          
   63 |  1   palmer.s     63 | Equivalence | 00 |         |    0 | 00/0000               | dpSTR                      =         {{{$00}+4}+4}+4      
   64 |  1   palmer.s     64 | Equivalence | 00 |         |    0 | 00/0000               | dpBUF                      =         {{{{$00}+4}+4}+4}+4  
   65 |  1   palmer.s     65 | Equivalence | 00 |         |    0 | 00/0000               | dpSALLE                    =         {{{{{$00}+4}+4}+4}+4}+4
   66 |  1   palmer.s     66 | Empty       | 00 |         |    0 | 00/0000               |                                                           
   67 |  1   palmer.s     67 | Comment     | 00 |         |    0 | 00/0000               | *---
   68 |  1   palmer.s     68 | Empty       | 00 |         |    0 | 00/0000               |                                                           
   69 |  1   palmer.s     69 | Equivalence | 00 |         |    0 | 00/0000               | TRUE                       =         255                  
   70 |  1   palmer.s     70 | Equivalence | 00 |         |    0 | 00/0000               | FALSE                      =         0                    
   71 |  1   palmer.s     71 | Empty       | 00 |         |    0 | 00/0000               |                                                           
   72 |  1   palmer.s     72 | Comment     | 00 |         |    0 | 00/0000               | *----------------------------------- Entry point
   73 |  1   palmer.s     73 | Empty       | 00 |         |    0 | 00/0000               |                                                           
   74 |  1   palmer.s     74 | Code        | 00 |         |    1 | 00/0000 : 4B          |                            phk                            
   75 |  1   palmer.s     75 | Code        | 00 |         |    1 | 00/0001 : AB          |                            plb                            
   76 |  1   palmer.s     76 | Empty       | 00 |         |    0 | 00/0002               |                                                           
   77 |  1   palmer.s     77 | Macro       | 00 |         |    0 | 00/0002               |                            _TLStartUp                       
   79 |  1   palmer.s     77 | Code        | 00 |         |    3 | 00/0002 : A2 01 02    |                            LDX       #$201                ; load tool call #
   80 |  1   palmer.s     77 | Code        | 00 |         |    4 | 00/0005 : 22 00 00 E1 |                            JSL       $E10000              ; go to dispatcher
   81 |  1   palmer.s     78 | Code        | 00 |         |    1 | 00/0009 : 48          |                            pha                            
   82 |  1   palmer.s     79 | Macro       | 00 |         |    0 | 00/000A               |                            _MMStartUp                       
   84 |  1   palmer.s     79 | Code        | 00 |         |    3 | 00/000A : A2 02 02    |                            LDX       #$202                ; load tool call #
   85 |  1   palmer.s     79 | Code        | 00 |         |    4 | 00/000D : 22 00 00 E1 |                            JSL       $E10000              ; go to dispatcher
   86 |  1   palmer.s     80 | Code        | 00 |         |    1 | 00/0011 : 68          |                            pla                            
   87 |  1   palmer.s     81 | Code        | 00 |  2      |    3 | 00/0012 : 8D 70 0E    |                            sta       myID                 
   88 |  1   palmer.s     82 | Empty       | 00 |         |    0 | 00/0015               |                                                           
   89 |  1   palmer.s     83 | Code        | 00 |         |    1 | 00/0015 : 7B          |                            tdc                            
   90 |  1   palmer.s     84 | Code        | 00 |  2      |    3 | 00/0016 : 8D 72 0E    |                            sta       myDP                 
   91 |  1   palmer.s     85 | Empty       | 00 |         |    0 | 00/0019               |                                                           
   92 |  1   palmer.s     86 | Comment     | 00 |         |    0 | 00/0019               | *--- Version du systeme
   93 |  1   palmer.s     87 | Empty       | 00 |         |    0 | 00/0019               |                                                           
   94 |  1   palmer.s     88 | Code        | 00 |         |    4 | 00/0019 : 22 A8 00 E1 |                            jsl       {$e100a8}            
   95 |  1   palmer.s     89 | Data        | 00 |         |    2 | 00/001D : 2A 20       |                            dw        $202a                
   96 |  1   palmer.s     90 | Data        | 00 |  3      |    4 | 00/001F : 53 11 00 00 |                            adrl      proVERS              
   97 |  1   palmer.s     91 | Empty       | 00 |         |    0 | 00/0023               |                                                           
   98 |  1   palmer.s     92 | Code        | 00 |  2      |    3 | 00/0023 : AD 55 11    |                            lda       proVERS+2            
   99 |  1   palmer.s     93 | Code        | 00 |         |    3 | 00/0026 : 29 FF 7F    |                            and       #%01111111_11111111  
  100 |  1   palmer.s     94 | Code        | 00 |         |    3 | 00/0029 : C9 02 04    |                            cmp       #$0402               
  101 |  1   palmer.s     95 | Code        | 00 |         |    2 | 00/002C : B0 24       |                            bcs       okVERS               
  102 |  1   palmer.s     96 | Empty       | 00 |         |    0 | 00/002E               |                                                           
  103 |  1   palmer.s     97 | Code        | 00 |         |    1 | 00/002E : 48          |                            pha                            
  104 |  1   palmer.s     98 | Macro       | 00 |         |    0 | 00/002F               |                            PushLong  #verSTR1             
  108 |  1   palmer.s     98 | Code        | 00 |  1 >>16 |    3 | 00/002F : F4 00 00    |                            PEA       #^#verSTR1           
  115 |  1   palmer.s     98 | Code        | 00 |  2      |    3 | 00/0032 : F4 8A 0E    |                            PEA       #verSTR1             
  118 |  1   palmer.s     99 | Macro       | 00 |         |    0 | 00/0035               |                            PushLong  #verSTR2             
  122 |  1   palmer.s     99 | Code        | 00 |  1 >>16 |    3 | 00/0035 : F4 00 00    |                            PEA       #^#verSTR2           
  129 |  1   palmer.s     99 | Code        | 00 |  2      |    3 | 00/0038 : F4 A1 0E    |                            PEA       #verSTR2             
  132 |  1   palmer.s    100 | Macro       | 00 |         |    0 | 00/003B               |                            PushLong  #errSTR1             
  136 |  1   palmer.s    100 | Code        | 00 |  1 >>16 |    3 | 00/003B : F4 00 00    |                            PEA       #^#errSTR1           
  143 |  1   palmer.s    100 | Code        | 00 |  2      |    3 | 00/003E : F4 F7 0E    |                            PEA       #errSTR1             
  146 |  1   palmer.s    101 | Macro       | 00 |         |    0 | 00/0041               |                            PushLong  #errSTR2             
