------+------------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
 Line | # File            Line | Line Type   | MX |  Reloc  | Size | Address   Object Code |  Source Code                                                      
------+------------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
    1 |  1    BD.MAKE.S      1 | Comment     | 11 |         |    0 | 00/8000               | *
    2 |  1    BD.MAKE.S      2 | Comment     | 11 |         |    0 | 00/8000               | * Boulderdash
    3 |  1    BD.MAKE.S      3 | Comment     | 11 |         |    0 | 00/8000               | *
    4 |  1    BD.MAKE.S      4 | Comment     | 11 |         |    0 | 00/8000               | * (c) 1984, First Star
    5 |  1    BD.MAKE.S      5 | Comment     | 11 |         |    0 | 00/8000               | * (s) 2022, Brutal Deluxe Software
    6 |  1    BD.MAKE.S      6 | Comment     | 11 |         |    0 | 00/8000               | *
    7 |  1    BD.MAKE.S      7 | Empty       | 11 |         |    0 | 00/8000               |                                  
    8 |  1    BD.MAKE.S      8 | Comment     | 11 |         |    0 | 00/8000               | *-----------------------------
    9 |  1    BD.MAKE.S      9 | Empty       | 11 |         |    0 | 00/8000               |                                  
   10 |  1    BD.MAKE.S     10 | Directive   | 11 |         |    0 | 00/8000               |             LST   OFF            
   11 |  1    BD.MAKE.S     11 | Directive   | 11 |         |    0 | 00/8000               |             TYP   BIN            
   12 |  1    BD.MAKE.S     12 | Directive   | 11 |         |    0 | 00/8000               |             ORG   $000800        
   13 |  1    BD.MAKE.S     13 | Directive   | 11 |         |    0 | 00/0800               |             MX    %11            
   14 |  1    BD.MAKE.S     14 | Empty       | 11 |         |    0 | 00/0800               |                                  
   15 |  1    BD.MAKE.S     15 | Directive   | 11 |         |    0 | 00/0800               |             USE   BD.EQUATES.S   
   16 |  2 BD.EQUATES.S      1 | Comment     | 11 |         |    0 | 00/0800               | *
   17 |  2 BD.EQUATES.S      2 | Comment     | 11 |         |    0 | 00/0800               | * Boulderdash
   18 |  2 BD.EQUATES.S      3 | Comment     | 11 |         |    0 | 00/0800               | *
   19 |  2 BD.EQUATES.S      4 | Comment     | 11 |         |    0 | 00/0800               | * (c) 1984, First Star
   20 |  2 BD.EQUATES.S      5 | Comment     | 11 |         |    0 | 00/0800               | * (s) 2022, Brutal Deluxe Software
   21 |  2 BD.EQUATES.S      6 | Comment     | 11 |         |    0 | 00/0800               | *
   22 |  2 BD.EQUATES.S      7 | Empty       | 11 |         |    0 | 00/0800               |                                  
   23 |  2 BD.EQUATES.S      8 | Equivalence | 11 |         |    0 | 00/0800               | KBD         EQU   $C000          
   24 |  2 BD.EQUATES.S      9 | Equivalence | 11 |         |    0 | 00/0800               | KBDSTROBE   EQU   $C010          
   25 |  2 BD.EQUATES.S     10 | Equivalence | 11 |         |    0 | 00/0800               | TAPEOUT     EQU   $C020          
   26 |  2 BD.EQUATES.S     11 | Equivalence | 11 |         |    0 | 00/0800               | SPKR        EQU   $C030          
   27 |  2 BD.EQUATES.S     12 | Equivalence | 11 |         |    0 | 00/0800               | TXTCLR      EQU   $C050          
   28 |  2 BD.EQUATES.S     13 | Equivalence | 11 |         |    0 | 00/0800               | TXTPAGE1    EQU   $C054          
   29 |  2 BD.EQUATES.S     14 | Equivalence | 11 |         |    0 | 00/0800               | TXTPAGE2    EQU   $C055          
   30 |  2 BD.EQUATES.S     15 | Equivalence | 11 |         |    0 | 00/0800               | SETAN0      EQU   $C058          
   31 |  2 BD.EQUATES.S     16 | Equivalence | 11 |         |    0 | 00/0800               | CLRAN0      EQU   $C059          
   32 |  2 BD.EQUATES.S     17 | Equivalence | 11 |         |    0 | 00/0800               | SETAN1      EQU   $C05A          
   33 |  2 BD.EQUATES.S     18 | Equivalence | 11 |         |    0 | 00/0800               | CLRAN1      EQU   $C05B          
   34 |  2 BD.EQUATES.S     19 | Equivalence | 11 |         |    0 | 00/0800               | BUTN0       EQU   $C061          
   35 |  2 BD.EQUATES.S     20 | Equivalence | 11 |         |    0 | 00/0800               | BUTN1       EQU   $C062          
   36 |  2 BD.EQUATES.S     21 | Equivalence | 11 |         |    0 | 00/0800               | BUTN2       EQU   $C063          
   37 |  2 BD.EQUATES.S     22 | Equivalence | 11 |         |    0 | 00/0800               | PADDL0      EQU   $C064          
   38 |  2 BD.EQUATES.S     23 | Equivalence | 11 |         |    0 | 00/0800               | PADDL1      EQU   $C065          
   39 |  2 BD.EQUATES.S     24 | Equivalence | 11 |         |    0 | 00/0800               | PTRIG       EQU   $C070          
   40 |  2 BD.EQUATES.S     25 | Equivalence | 11 |         |    0 | 00/0800               | PWRUP       EQU   $FAA6          
   41 |  2 BD.EQUATES.S     26 | Equivalence | 11 |         |    0 | 00/0800               | WAIT        EQU   $FCA8          
   42 |  2 BD.EQUATES.S     27 | Empty       | 11 |         |    0 | 00/0800               |                                  
   43 |  1    BD.MAKE.S     16 | Empty       | 11 |         |    0 | 00/0800               |                                  
   44 |  1    BD.MAKE.S     17 | Comment     | 11 |         |    0 | 00/0800               | *-----------------------------
   45 |  1    BD.MAKE.S     18 | Empty       | 11 |         |    0 | 00/0800               |                                  
   46 |  1    BD.MAKE.S     19 | Directive   | 11 |         |    0 | 00/0800               |             put   BD.0800.S      ; $0800 - code
   47 |  3    BD.0800.S      1 | Comment     | 11 |         |    0 | 00/0800               | *
   48 |  3    BD.0800.S      2 | Comment     | 11 |         |    0 | 00/0800               | * Boulderdash
   49 |  3    BD.0800.S      3 | Comment     | 11 |         |    0 | 00/0800               | *
   50 |  3    BD.0800.S      4 | Comment     | 11 |         |    0 | 00/0800               | * (c) 1984, First Star
