Segment Name;Segment Line;File Name;File Line;Address;Name;Type;Data Type;Size;MX;Reloc
Segment1;362;BD.0800;10;00/6000;L0800;Code;;3;11;
Segment1;376;BD.0800;24;00/6021;ozunid_1;Code;;2;11;
Segment1;384;BD.0800;32;00/602F;myRESET;Code;;1;11;
Segment1;393;BD.0800;41;00/6040;notIIgs;Code;;3;11;
Segment1;407;BD.0800;55;00/6055;saveCYAREG;Data;ds;1;11;
Segment1;408;BD.0800;56;00/6056;resetVECTOR;Data;ds;3;11;
Segment1;427;BD.0800;75;00/6059;find4P;Code;;2;11;
Segment1;429;BD.0800;77;00/605B;FPLoopIt;Code;;1;11;
Segment1;436;BD.0800;84;00/6065;FPLoopIt1;Code;;3;11;
Segment1;453;BD.0800;101;00/6084;FPDirectRead;Code;;2;11;
Segment1;463;BD.0800;111;00/608A;doQUIT;Code;;2;11;
Segment1;464;BD.0800;112;00/608C;ozunid_2;Code;;3;11;
Segment1;476;BD.0800;124;00/60A0;doQUIT1;Code;;3;11;
Segment1;491;BD.0800;139;00/60BA;setPREFIXES;Code;;3;11;
Segment1;502;BD.0800;150;00/60C7;loadTITLES;Code;;3;11;
Segment1;518;BD.0800;166;00/60E4;ltEND;Code;;1;11;
Segment1;522;BD.0800;170;00/60E5;loadSCORES;Code;;3;11;
Segment1;538;BD.0800;186;00/6102;lsEND;Code;;1;11;
Segment1;542;BD.0800;190;00/6103;saveSCORES;Code;;3;11;
Segment1;559;BD.0800;207;00/611D;saveSCORES1;Code;;3;11;
Segment1;576;BD.0800;224;00/613A;saveSCORES9;Code;;1;11;
Segment1;580;BD.0800;228;00/613B;pSCORES;Data;str;7;11;
Segment1;581;BD.0800;229;00/6142;pTITLES;Data;str;7;11;
Segment1;583;BD.0800;231;00/6149;proQUIT;Data;dfb;1;11;
Segment1;589;BD.0800;237;00/6150;proDESTROY;Data;dfb;1;11;
Segment1;592;BD.0800;240;00/6153;proCREATE;Data;dfb;1;11;
Segment1;601;BD.0800;249;00/615F;proSETINFO;Data;dfb;1;11;
Segment1;612;BD.0800;260;00/616F;proGETPFX;Data;dfb;1;11;
Segment1;615;BD.0800;263;00/6172;proOPENS;Data;dfb;1;11;
Segment1;620;BD.0800;268;00/6178;proREADS;Data;dfb;1;11;
Segment1;626;BD.0800;274;00/6180;proOPENT;Data;dfb;1;11;
Segment1;631;BD.0800;279;00/6186;proREADT;Data;dfb;1;11;
Segment1;637;BD.0800;285;00/618E;proCLOSE;Data;dfb;1;11;
Segment1;644;BD.0800;292;00/6190;getMOVE;Code;;2;11;
Segment1;657;BD.0800;305;00/61A3;L0862;Code;;3;11;
Segment1;670;BD.0800;318;00/61BF;L0877;Code;;3;11;
Segment1;676;BD.0800;324;00/61C6;L087E;Code;;2;11;
Segment1;678;BD.0800;326;00/61CA;L0882;Code;;2;11;
Segment1;686;BD.0800;334;00/61D7;L088F;Code;;2;11;
Segment1;691;BD.0800;339;00/61DF;L0897;Code;;3;11;
Segment1;700;BD.0800;348;00/61F0;L08A8;Code;;2;11;
Segment1;703;BD.0800;351;00/61F5;L08AD;Code;;2;11;
Segment1;704;BD.0800;352;00/61F7;L08AF;Code;;2;11;
Segment1;710;BD.0800;358;00/6201;L08B9;Code;;2;11;
Segment1;715;BD.0800;363;00/620F;L08C7;Code;;3;11;
Segment1;719;BD.0800;367;00/6212;L08CA;Data;DB;5;11;
Segment1;720;BD.0800;368;00/6217;L08CF;Data;DB;5;11;
Segment1;724;BD.0800;372;00/621C;L08D4;Code;;2;11;
Segment1;732;BD.0800;380;00/622D;L08E6;Code;;3;11;
Segment1;736;BD.0800;384;00/6230;L08E9;Data;DB;6;11;
Segment1;737;BD.0800;385;00/6236;L08EF;Data;DB;6;11;
Segment1;741;BD.0800;389;00/623C;L08F5;Code;;2;11;
Segment1;745;BD.0800;393;00/6243;L08FC;Code;;2;11;
Segment1;750;BD.0800;398;00/624C;L0905;Code;;2;11;
Segment1;756;BD.0800;404;00/6257;L0910;Code;;2;11;
Segment1;765;BD.0800;413;00/6264;L091D;Code;;2;11;
Segment1;776;BD.0800;424;00/6275;L092E;Code;;2;11;
Segment1;793;BD.0800;441;00/6292;L094B;Code;;2;11;
Segment1;800;BD.0800;448;00/62A3;L095C;Code;;3;11;
Segment1;804;BD.0800;452;00/62A6;L095F;Code;;2;11;
Segment1;814;BD.0800;462;00/62B0;L0969;Code;;2;11;
Segment1;824;BD.0800;472;00/62B8;keyLEFT;Data;asc;1;11;
Segment1;825;BD.0800;473;00/62B9;keyRIGHT;Data;asc;1;11;
Segment1;826;BD.0800;474;00/62BA;keyUP;Data;asc;1;11;
Segment1;827;BD.0800;475;00/62BB;keyDOWN;Data;asc;1;11;
Segment1;828;BD.0800;476;00/62BC;keySPACE;Data;asc;1;11;
Segment1;829;BD.0800;477;00/62BD;keyPAUSE;Data;dfb;1;11;
Segment1;830;BD.0800;478;00/62BE;keyLOSE;Data;dfb;1;11;
Segment1;834;BD.0800;482;00/62BF;readINPUTDEVICE;Code;;3;11;
Segment1;852;BD.0800;500;00/62DC;kbdGOOD;Code;;3;11;
Segment1;855;BD.0800;503;00/62E2;kbdNOBTN;Code;;2;11;
Segment1;868;BD.0800;516;00/6300;kbdDONE;Code;;1;11;
Segment1;876;BD.0800;524;00/6308;ridAPPLE;Code;;2;11;
Segment1;882;BD.0800;530;00/6313;L0978;Code;;3;11;
Segment1;885;BD.0800;533;00/631A;L097F;Code;;2;11;
Segment1;888;BD.0800;536;00/6320;L0985;Code;;1;11;
Segment1;889;BD.0800;537;00/6321;L0986;Code;;3;11;
Segment1;896;BD.0800;544;00/632E;L0993;Code;;2;11;
Segment1;901;BD.0800;549;00/6338;L099D;Code;;2;11;
Segment1;904;BD.0800;552;00/633C;L09A1;Code;;2;11;
Segment1;909;BD.0800;557;00/6346;L09AB;Code;;2;11;
Segment1;912;BD.0800;560;00/634A;L09AF;Code;;2;11;
Segment1;922;BD.0800;570;00/6356;ridATARI;Code;;2;11;
Segment1;925;BD.0800;573;00/635A;L09C0;Code;;3;11;
Segment1;929;BD.0800;577;00/6364;L09CA;Code;;3;11;
Segment1;933;BD.0800;581;00/636D;L09D3;Code;;2;11;
Segment1;934;BD.0800;582;00/636F;L09D5;Code;;2;11;
Segment1;952;BD.0800;600;00/6392;L09F8;Code;;2;11;
Segment1;959;BD.0800;607;00/6398;rid4PLAY;Code;;2;11;
Segment1;975;BD.0800;623;00/63B3;rid4PLAYOK;Code;;2;11;
Segment1;979;BD.0800;627;00/63B8;ridNONE;Code;;2;11;
Segment1;991;BD.0800;639;00/63C2;clearHGRPAGES;Code;;2;11;
Segment1;994;BD.0800;642;00/63C5;L0A01;Code;;3;11;
Segment1;1029;BD.0800;677;00/642B;L0A67;Code;;3;11;
Segment1;1069;BD.0800;717;00/648F;L0ACB;Code;;2;11;
Segment1;1094;BD.0800;742;00/64C0;L0AFC;Code;;2;11;
Segment1;1099;BD.0800;747;00/64CB;L0B07;Code;;3;11;
Segment1;1116;BD.0800;764;00/64E6;L0B22;Code;;2;11;
Segment1;1118;BD.0800;766;00/64EA;L0B26;Code;;3;11;
Segment1;1124;BD.0800;772;00/64F6;L0B32;Code;;1;11;
Segment1;1127;BD.0800;775;00/64FB;L0B37;Code;;3;11;
Segment1;1128;BD.0800;776;00/64FE;L0B3A;Code;;2;11;
