Segment Name;Segment Line;File Name;File Line;Address;Name;Type;Data Type;Size;MX;Reloc
Segment1;89;brutaltester.s;86;00/200A;loopTEST;Code;;2;11;
Segment1;105;brutaltester.s;96;00/2026;noTEST0;Code;;2;11;
Segment1;109;brutaltester.s;100;00/202D;noTEST1;Code;;2;11;
Segment1;115;brutaltester.s;106;00/2034;doSETSLOT;Code;;2;11;
Segment1;146;brutaltester.s;134;00/2056;doTESTS;Code;;2;11;
Segment1;167;brutaltester.s;147;00/2077;ozunid_1;Code;;3;11;
Segment1;195;brutaltester.s;175;00/20AB;strT1dft;Data;asc;9;11;
Segment1;196;brutaltester.s;176;00/20B4;strT2F0dft;Data;asc;9;11;
Segment1;197;brutaltester.s;177;00/20BD;strT2F1dft;Data;asc;9;11;
Segment1;198;brutaltester.s;178;00/20C6;strT2F2dft;Data;asc;9;11;
Segment1;199;brutaltester.s;179;00/20CF;strT2F3dft;Data;asc;9;11;
Segment1;201;brutaltester.s;181;00/20D8;tblSTRT2;Data;da;2;11;
Segment1;206;brutaltester.s;186;00/20E0;tblDFTT2;Data;da;2;11;
Segment1;211;brutaltester.s;191;00/20E8;dftT1;Data;adrl;4;11;
Segment1;212;brutaltester.s;192;00/20EC;dftT2F0;Data;adrl;4;11;
Segment1;213;brutaltester.s;193;00/20F0;dftT2F1;Data;adrl;4;11;
Segment1;214;brutaltester.s;194;00/20F4;dftT2F2;Data;adrl;4;11;
Segment1;215;brutaltester.s;195;00/20F8;dftT2F3;Data;adrl;4;11;
Segment1;219;brutaltester.s;199;00/20FC;testDISPLAY;Code;;2;11;
Segment1;246;brutaltester.s;220;00/2124;doDISPLAY;Code;;3;11;
Segment1;251;brutaltester.s;225;00/212E;ozunid_2;Code;;2;11;
Segment1;263;brutaltester.s;237;00/2140;strDISPLAYOFF;Data;asc;17;11;
Segment1;264;brutaltester.s;238;00/2151;strDISPLAYON;Data;asc;17;11;
Segment1;270;brutaltester.s;244;00/2200;testTIMER;Code;;3;11;
Segment1;291;brutaltester.s;259;00/222C;ozunid_3;Code;;2;11;
Segment1;302;brutaltester.s;267;00/2242;notTHESAME;Code;;2;11;
Segment1;309;brutaltester.s;271;00/2249;testRESET;Code;;3;11;
Segment1;326;brutaltester.s;282;00/226C;notRESET;Code;;2;11;
Segment1;334;brutaltester.s;287;00/2274;strTVALUE;Data;asc;10;11;
Segment1;335;brutaltester.s;288;00/227E;strTREAD;Data;asc;7;11;
Segment1;336;brutaltester.s;289;00/2285;strOK;Data;asc;4;11;
Segment1;337;brutaltester.s;290;00/2289;strNOTOK;Data;asc;8;11;
Segment1;338;brutaltester.s;291;00/2291;strRESET;Data;asc;10;11;
Segment1;344;brutaltester.s;298;00/2300;doTEST;Code;;1;11;
Segment1;552;brutaltester.s;308;00/2400;resetTIMER2;Code;;3;11;
Segment1;553;brutaltester.s;309;00/2403;resetTIMER;Code;;3;11;
Segment1;560;brutaltester.s;316;00/240D;startTIMER2;Code;;3;11;
Segment1;561;brutaltester.s;317;00/2410;startTIMER;Code;;3;11;
Segment1;568;brutaltester.s;324;00/241A;pauseTIMER2;Code;;3;11;
Segment1;569;brutaltester.s;325;00/241D;pauseTIMER;Code;;3;11;
Segment1;576;brutaltester.s;332;00/2427;stopTIMER2;Code;;3;11;
Segment1;577;brutaltester.s;333;00/242A;stopTIMER;Code;;3;11;
Segment1;584;brutaltester.s;340;00/2434;setT2FREQUENCY2;Code;;3;11;
Segment1;585;brutaltester.s;341;00/2437;setT2FREQUENCY;Code;;3;11;
Segment1;592;brutaltester.s;348;00/2441;setT2DISPLAY2;Code;;3;11;
Segment1;593;brutaltester.s;349;00/2444;setT2DISPLAY;Code;;3;11;
Segment1;600;brutaltester.s;356;00/244E;readTIMER;Code;;3;11;
Segment1;607;brutaltester.s;363;00/245A;readT1;Code;;3;11;
Segment1;620;brutaltester.s;376;00/2476;readT2;Code;;3;11;
Segment1;633;brutaltester.s;389;00/2492;printTIMER;Code;;3;11;
Segment1;644;brutaltester.s;400;00/24AA;strTHELOOP;Data;asc;8;11;
Segment1;645;brutaltester.s;401;00/24B2;strTIMER2;Data;asc;11;11;
