Read file in one pass,File size is 64Kb
Open entry,00000000
Open exit,00077EB9
Read entry,00077F77
Read exit,0071732E
Close entry,007173FA
Close exit,00718124
Read file per 512 bytes,File size is 64Kb
Open entry,00000000
Open exit,00061B7C
Read entry,00061C3A
Read exit,00062CC7
Read entry,00062D82
Read exit,00071ADC
Read entry,00071B97
Read exit,0007DBC5
Read entry,0007DC80
Read exit,00089CB9
Read entry,00089D74
Read exit,00099E9D
Read entry,00099F58
Read exit,000A5F78
Read entry,000A6033
Read exit,000B20B7
Read entry,000B2172
Read exit,000C0FEF
Read entry,000C10AA
Read exit,000CD11C
Read entry,000CD1D7
Read exit,000D8C9E
Read entry,000D8D59
Read exit,000E8AFE
Read entry,000E8BB9
Read exit,000F4AFF
Read entry,000F4E34
Read exit,00100AE4
Read entry,00100B9F
Read exit,001107FA
Read entry,001108B5
Read exit,0011C7C6
Read entry,0011C881
Read exit,001289AE
Read entry,00128A69
Read exit,00138958
Read entry,00138A13
Read exit,00144981
Read entry,00144A3C
Read exit,0015097D
Read entry,00150A38
Read exit,00157C67
Read entry,00157D22
Read exit,00163D09
Read entry,00163DC4
Read exit,0016FD1E
Read entry,0016FDD9
Read exit,0017FCFB
Read entry,0017FDB6
Read exit,0018BD39
Read entry,0018BDF4
Read exit,00197D33
Read entry,00197DEE
Read exit,001A7D92
Read entry,001A7E4D
Read exit,001B3E10
Read entry,001B3ECB
Read exit,001C0081
Read entry,001C013C
Read exit,001D00AA
Read entry,001D0165
Read exit,001DC017
Read entry,001DC0D2
Read exit,001E80F2
Read entry,001E81AD
Read exit,001F6F97
Read entry,001F7052
Read exit,00202D17
Read entry,00202DD2
Read exit,0020E9B2
Read entry,0020EA6D
Read exit,0021E8C4
Read entry,0021E97F
Read exit,0022A8C8
Read entry,0022A983
Read exit,0023689B
Read entry,00236956
Read exit,002468B3
Read entry,0024696E
Read exit,002528E3
Read entry,0025299E
Read exit,0025E91A
Read entry,0025E9D5
Read exit,0026E9B6
Read entry,0026EA71
Read exit,0027A989
Read entry,0027AA44
Read exit,002869A9
Read entry,00286A64
Read exit,0028DB9E
Read entry,0028DC59
Read exit,00299D5C
Read entry,00299E17
Read exit,002A5B80
Read entry,002A5C3B
Read exit,002B5D07
Read entry,002B5DC2
Read exit,002C1F78
Read entry,002C2033
Read exit,002CDFB0
Read entry,002CE06B
Read exit,002DE03A
Read entry,002DE0F5
Read exit,002EA012
Read entry,002EA0CD
Read exit,002F603C
Read entry,002F60F7
Read exit,003060A4
Read entry,0030615F
Read exit,00311F95
Read entry,00312050
Read exit,0031E103
Read entry,0031E1BE
Read exit,0032CB25
Read entry,0032CBE0
Read exit,00338AFE
Read entry,00338BB9
Read exit,00344B61
Read entry,00344C1C
Read exit,00354B92
Read entry,00354C4D
Read exit,00360BAD
Read entry,00360C68
Read exit,0036CBE0
Read entry,0036CC9B
Read exit,0037CBF8
Read entry,0037CCB3
Read exit,00388C01
Read entry,00388CBC
Read exit,00394C59
Read entry,00394D14
Read exit,003A4CC6
Read entry,003A4D81
Read exit,003B0C9C
Read entry,003B0D57
Read exit,003BCCE1
Read entry,003BCD9C
Read exit,003C402B
Read entry,003C40E6
Read exit,003CFFBF
