Read file in one pass,File size is 128Kb,
Open entry,0,
Open exit,29954,29954
Read entry,30144,
Read exit,424401,394257
Set mark entry,424647,
Set mark exit,429200,4553
Close entry,429404,
Close exit,432369,2965
Read file per 512 bytes,File size is 128Kb,
Open entry,0,
Open exit,29954,29954
Read entry,30144,
Read exit,34380,4236
Read entry,34594,
Read exit,41032,6438
Read entry,41245,
Read exit,47688,6443
Read entry,47901,
Read exit,54340,6439
Read entry,54549,
Read exit,60990,6441
Read entry,61198,
Read exit,67640,6442
Read entry,67849,
Read exit,74291,6442
Read entry,74500,
Read exit,80937,6437
Read entry,81146,
Read exit,87588,6442
Read entry,87797,
Read exit,94722,6925
Read entry,94935,
Read exit,101863,6928
Read entry,102076,
Read exit,108999,6923
Read entry,109208,
Read exit,116136,6928
Read entry,116346,
Read exit,123273,6927
Read entry,123481,
Read exit,130410,6929
Read entry,130623,
Read exit,137548,6925
Read entry,137756,
Read exit,144678,6922
Read entry,144887,
Read exit,151811,6924
Read entry,152019,
Read exit,158950,6931
Read entry,159163,
Read exit,166085,6922
Read entry,166294,
Read exit,173223,6929
Read entry,173432,
Read exit,180356,6924
Read entry,180565,
Read exit,187494,6929
Read entry,187703,
Read exit,194626,6923
Read entry,194835,
Read exit,201763,6928
Read entry,201972,
Read exit,208896,6924
Read entry,209105,
Read exit,216034,6929
Read entry,216243,
Read exit,223168,6925
Read entry,223377,
Read exit,230302,6925
Read entry,230510,
Read exit,237438,6928
Read entry,237647,
Read exit,244574,6927
Read entry,244783,
Read exit,251755,6972
Read entry,251968,
Read exit,258894,6926
Read entry,259103,
Read exit,266027,6924
Read entry,266236,
Read exit,273162,6926
Read entry,273370,
Read exit,280297,6927
Read entry,280506,
Read exit,287432,6926
Read entry,287641,
Read exit,294572,6931
Read entry,294781,
Read exit,301705,6924
Read entry,301914,
Read exit,308845,6931
Read entry,309054,
Read exit,315979,6925
Read entry,316188,
Read exit,323110,6922
Read entry,323318,
Read exit,330302,6984
Read entry,330515,
Read exit,337448,6933
Read entry,337656,
Read exit,344580,6924
Read entry,344789,
Read exit,351720,6931
Read entry,351929,
Read exit,358856,6927
Read entry,359065,
Read exit,365993,6928
Read entry,366202,
Read exit,373131,6929
Read entry,373340,
Read exit,380264,6924
Read entry,380473,
Read exit,387402,6929
Read entry,387611,
Read exit,394540,6929
Read entry,394748,
Read exit,401674,6926
Read entry,401883,
Read exit,408810,6927
Read entry,409019,
Read exit,415942,6923
Read entry,416151,
Read exit,423078,6927
Read entry,423286,
Read exit,430209,6923
Read entry,430418,
Read exit,437344,6926
Read entry,437553,
Read exit,444478,6925
Read entry,444687,
Read exit,451610,6923
Read entry,451819,
Read exit,458748,6929
Read entry,458957,
Read exit,465884,6927
Read entry,466093,
Read exit,473025,6932
Read entry,473234,
Read exit,480160,6926
Read entry,480368,
Read exit,487294,6926
Read entry,487503,
Read exit,494426,6923
Read entry,494635,
Read exit,501561,6926
Read entry,501770,
Read exit,508695,6925
Read entry,508903,
Read exit,515831,6928
Read entry,516040,
Read exit,522967,6927
Read entry,523176,
Read exit,530104,6928
Read entry,530313,
Read exit,537237,6924
Read entry,537446,
Read exit,544373,6927
Read entry,544582,
Read exit,551510,6928
Read entry,551718,
Read exit,558641,6923
Read entry,558850,
Read exit,565776,6926
Read entry,565985,
Read exit,572910,6925
Read entry,573119,
Read exit,580049,6930
Read entry,580258,
Read exit,587181,6923
Read entry,587389,
Read exit,594314,6925
Read entry,594523,
Read exit,601454,6931
Read entry,601662,
Read exit,608587,6925
Read entry,608796,
Read exit,615719,6923
Read entry,615928,
Read exit,622854,6926
Read entry,623063,
Read exit,629987,6924
Read entry,630196,
Read exit,637124,6928
Read entry,637333,
Read exit,644258,6925
Read entry,644467,
Read exit,651401,6934
Read entry,651610,
Read exit,658537,6927
Read entry,658746,
Read exit,665670,6924
Read entry,665879,
Read exit,672801,6922
Read entry,673010,
Read exit,679991,6981
Read entry,680200,
Read exit,687127,6927
Read entry,687336,
Read exit,694263,6927
Read entry,694472,
Read exit,701398,6926
Read entry,701607,
Read exit,708532,6925
Read entry,708740,
Read exit,715664,6924
Read entry,715872,
Read exit,722799,6927
Read entry,723007,
Read exit,729930,6923
Read entry,730139,
Read exit,737063,6924
Read entry,737272,
Read exit,744197,6925
Read entry,744406,
Read exit,751335,6929
Read entry,751544,
Read exit,758469,6925
Read entry,758678,
Read exit,765605,6927
Read entry,765814,
Read exit,772739,6925
Read entry,772948,
Read exit,779876,6928
Read entry,780085,
Read exit,787012,6927
Read entry,787221,
Read exit,794143,6922
Read entry,794352,
Read exit,801279,6927
Read entry,801487,
Read exit,808413,6926
Read entry,808622,
Read exit,815552,6930
Read entry,815760,
Read exit,822689,6929
Read entry,822898,
Read exit,829828,6930
Read entry,830037,
Read exit,836964,6927
Read entry,837173,
Read exit,844102,6929
Read entry,844310,
Read exit,851238,6928
Read entry,851447,
Read exit,858370,6923
Read entry,858579,
Read exit,865505,6926
Read entry,865714,
Read exit,872641,6927
Read entry,872849,
Read exit,879772,6923
Read entry,879981,
Read exit,886907,6926
Read entry,887115,
Read exit,894038,6923
Read entry,894247,
Read exit,901176,6929
Read entry,901385,
Read exit,908310,6925
Read entry,908519,
Read exit,915447,6928
Read entry,915656,
Read exit,922583,6927
Read entry,922792,
Read exit,929717,6925
Read entry,929926,
Read exit,936857,6931
Read entry,937065,
Read exit,943988,6923
Read entry,944196,
Read exit,951123,6927
Read entry,951331,
Read exit,958256,6925
Read entry,958465,
Read exit,965393,6928
Read entry,965602,
Read exit,972530,6928
Read entry,972739,
Read exit,979665,6926
Read entry,979874,
Read exit,986801,6927
Read entry,987010,
Read exit,993937,6927
Read entry,994146,
Read exit,1001072,6926
Read entry,1001281,
Read exit,1008209,6928
Read entry,1008418,
Read exit,1015343,6925
Read entry,1015551,
Read exit,1022479,6928
Read entry,1022688,
Read exit,1029127,6439
Read entry,1029336,
Read exit,1035777,6441
Read entry,1035986,
Read exit,1042424,6438
Read entry,1042633,
Read exit,1049071,6438
Read entry,1049280,
Read exit,1055722,6442
Read entry,1055931,
Read exit,1062367,6436
Read entry,1062576,
Read exit,1069017,6441
Read entry,1069226,
Read exit,1075665,6439
Read entry,1075874,
Read exit,1082314,6440
