Read file in one pass,File size is 64Kb,
Open entry,0,
Open exit,80705,80705
Read entry,80895,
Read exit,2463984,2383089
Set mark entry,2464230,
Set mark exit,2495798,31568
Close entry,2496002,
Close exit,2498816,2814
Read file per 512 bytes,File size is 64Kb,
Open entry,0,
Open exit,84531,84531
Read entry,84721,
Read exit,89446,4725
Read entry,89660,
Read exit,121682,32022
Read entry,121895,
Read exit,146273,24378
Read entry,146482,
Read exit,170832,24350
Read entry,171041,
Read exit,195423,24382
Read entry,195632,
Read exit,220124,24492
Read entry,220332,
Read exit,245205,24873
Read entry,245413,
Read exit,272838,27425
Read entry,273047,
Read exit,297336,24289
Read entry,297545,
Read exit,321826,24281
Read entry,322035,
Read exit,346042,24007
Read entry,346251,
Read exit,370151,23900
Read entry,370359,
Read exit,394445,24086
Read entry,395140,
Read exit,419217,24077
Read entry,419425,
Read exit,443320,23895
Read entry,443529,
Read exit,470633,27104
Read entry,470842,
Read exit,495218,24376
Read entry,495427,
Read exit,520076,24649
Read entry,520285,
Read exit,545276,24991
Read entry,545484,
Read exit,569887,24403
Read entry,570096,
Read exit,594680,24584
Read entry,594889,
Read exit,619167,24278
Read entry,619376,
Read exit,643705,24329
Read entry,643914,
Read exit,671004,27090
Read entry,671213,
Read exit,695366,24153
Read entry,695575,
Read exit,719632,24057
Read entry,719840,
Read exit,744218,24378
Read entry,744426,
Read exit,769222,24796
Read entry,769431,
Read exit,794230,24799
Read entry,794439,
Read exit,819230,24791
Read entry,819438,
Read exit,844133,24695
Read entry,844342,
Read exit,872176,27834
Read entry,872385,
Read exit,896703,24318
Read entry,896911,
Read exit,921385,24474
Read entry,921594,
Read exit,946072,24478
Read entry,946281,
Read exit,970939,24658
Read entry,971148,
Read exit,995443,24295
Read entry,995652,
Read exit,1020610,24958
Read entry,1020819,
Read exit,1045752,24933
Read entry,1045961,
Read exit,1073260,27299
Read entry,1073469,
Read exit,1097295,23826
Read entry,1097504,
Read exit,1121560,24056
Read entry,1121769,
Read exit,1145848,24079
Read entry,1146057,
Read exit,1170666,24609
Read entry,1170874,
Read exit,1195480,24606
Read entry,1195689,
Read exit,1220317,24628
Read entry,1220526,
Read exit,1244507,23981
Read entry,1244716,
Read exit,1272066,27350
Read entry,1272275,
Read exit,1296589,24314
Read entry,1296798,
Read exit,1321628,24830
Read entry,1321836,
Read exit,1346568,24732
Read entry,1346776,
Read exit,1371498,24722
Read entry,1371707,
Read exit,1396055,24348
Read entry,1396264,
Read exit,1420163,23899
Read entry,1420372,
Read exit,1444756,24384
Read entry,1444965,
Read exit,1472998,28033
Read entry,1473207,
Read exit,1498093,24886
Read entry,1498302,
Read exit,1523441,25139
Read entry,1523649,
Read exit,1548027,24378
Read entry,1548235,
Read exit,1572734,24499
Read entry,1572943,
Read exit,1597167,24224
Read entry,1597375,
Read exit,1622066,24691
Read entry,1622275,
Read exit,1646976,24701
Read entry,1647185,
Read exit,1675091,27906
Read entry,1675300,
Read exit,1699674,24374
Read entry,1699883,
Read exit,1724261,24378
Read entry,1724470,
Read exit,1748843,24373
Read entry,1749051,
Read exit,1773917,24866
Read entry,1774126,
Read exit,1799041,24915
Read entry,1799250,
Read exit,1824015,24765
Read entry,1824224,
Read exit,1848782,24558
Read entry,1848991,
Read exit,1875958,26967
Read entry,1876167,
Read exit,1900557,24390
Read entry,1900766,
Read exit,1925148,24382
Read entry,1925357,
Read exit,1949475,24118
Read entry,1949684,
Read exit,1974064,24380
Read entry,1974273,
Read exit,1998672,24399
Read entry,1998881,
Read exit,2022741,23860
Read entry,2022949,
Read exit,2047089,24140
Read entry,2047298,
Read exit,2074553,27255
Read entry,2074762,
Read exit,2099516,24754
Read entry,2099725,
Read exit,2123998,24273
Read entry,2124206,
Read exit,2148365,24159
Read entry,2148574,
Read exit,2172459,23885
Read entry,2172668,
Read exit,2196724,24056
Read entry,2196933,
Read exit,2221092,24159
Read entry,2221301,
Read exit,2245446,24145
Read entry,2245655,
Read exit,2273342,27687
Read entry,2273551,
Read exit,2297706,24155
Read entry,2297915,
Read exit,2322220,24305
Read entry,2322429,
Read exit,2346738,24309
Read entry,2346947,
Read exit,2371259,24312
Read entry,2371468,
Read exit,2396260,24792
Read entry,2396469,
Read exit,2421469,25000
Read entry,2421678,
Read exit,2446190,24512
Read entry,2446399,
Read exit,2473756,27357
Read entry,2473965,
Read exit,2498238,24273
Read entry,2498447,
Read exit,2522502,24055
Read entry,2522711,
Read exit,2547670,24959
Read entry,2547879,
Read exit,2572791,24912
Read entry,2573000,
Read exit,2597947,24947
Read entry,2598155,
Read exit,2622717,24562
Read entry,2622926,
Read exit,2647483,24557
Read entry,2647692,
Read exit,2675146,27454
Read entry,2675355,
Read exit,2699810,24455
Read entry,2700019,
Read exit,2724702,24683
Read entry,2724911,
Read exit,2748971,24060
Read entry,2749179,
Read exit,2773356,24177
Read entry,2773564,
Read exit,2797746,24182
Read entry,2797955,
Read exit,2822303,24348
Read entry,2822512,
Read exit,2847184,24672
