Read file per 512 bytes,File size is 256Kb
Open entry,00000000
Open exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
