Read file in one pass,File size is 64Kb,
Open entry,0,
Open exit,0,0
Read entry,0,
Read exit,0,0
Set mark entry,0,
Set mark exit,0,0
Close entry,0,
Close exit,0,0
Read file per 512 bytes,File size is 64Kb,
Open entry,0,
Open exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
Read entry,0,
Read exit,0,0
