------+--------------------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
 Line | # File                    Line | Line Type   | MX |  Reloc  | Size | Address   Object Code |  Source Code                                                      
------+--------------------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
    1 |  1     cauchemarhouse.s      1 | Comment     | 11 |         |    0 | 00/8000               | *
    2 |  1     cauchemarhouse.s      2 | Comment     | 11 |         |    0 | 00/8000               | * Cauchemar House
    3 |  1     cauchemarhouse.s      3 | Comment     | 11 |         |    0 | 00/8000               | *
    4 |  1     cauchemarhouse.s      4 | Comment     | 11 |         |    0 | 00/8000               | * (c) 198?, Auteur inconnu
    5 |  1     cauchemarhouse.s      5 | Comment     | 11 |         |    0 | 00/8000               | * (c) 2023, Brutal Deluxe Software (Apple II)
    6 |  1     cauchemarhouse.s      6 | Comment     | 11 |         |    0 | 00/8000               | *
    7 |  1     cauchemarhouse.s      7 | Empty       | 11 |         |    0 | 00/8000               |                                          
    8 |  1     cauchemarhouse.s      8 | Directive   | 11 |         |    0 | 00/8000               |                   mx      %11            
    9 |  1     cauchemarhouse.s      9 | Directive   | 11 |         |    0 | 00/8000               |                   org     $4000          
   10 |  1     cauchemarhouse.s     10 | Directive   | 11 |         |    0 | 00/4000               |                   lst     off            
   11 |  1     cauchemarhouse.s     11 | Empty       | 11 |         |    0 | 00/4000               |                                          
   12 |  1     cauchemarhouse.s     12 | Comment     | 11 |         |    0 | 00/4000               | *-----------------------------------
   13 |  1     cauchemarhouse.s     13 | Comment     | 11 |         |    0 | 00/4000               | * SOFTSWITCHES AND FRIENDS
   14 |  1     cauchemarhouse.s     14 | Comment     | 11 |         |    0 | 00/4000               | *-----------------------------------
   15 |  1     cauchemarhouse.s     15 | Empty       | 11 |         |    0 | 00/4000               |                                          
   16 |  1     cauchemarhouse.s     16 | Equivalence | 11 |         |    0 | 00/4000               | CH                =       $24            ; cursor horizontal position
   17 |  1     cauchemarhouse.s     17 | Equivalence | 11 |         |    0 | 00/4000               | CV                =       $25            ; cursor vertical position
   18 |  1     cauchemarhouse.s     18 | Equivalence | 11 |         |    0 | 00/4000               | LINNUM            =       $50            ; result from GETADR
   19 |  1     cauchemarhouse.s     19 | Equivalence | 11 |         |    0 | 00/4000               | X0L               =       $e0            ; X-coord
   20 |  1     cauchemarhouse.s     20 | Equivalence | 11 |         |    0 | 00/4000               | X0H               =       $e1            
   21 |  1     cauchemarhouse.s     21 | Equivalence | 11 |         |    0 | 00/4000               | Y0                =       $e2            ; Y-coord
   22 |  1     cauchemarhouse.s     22 | Empty       | 11 |         |    0 | 00/4000               |                                          
   23 |  1     cauchemarhouse.s     23 | Equivalence | 11 |         |    0 | 00/4000               | maxY              =       191            ; 0 to 191 = 192
   24 |  1     cauchemarhouse.s     24 | Empty       | 11 |         |    0 | 00/4000               |                                          
   25 |  1     cauchemarhouse.s     25 | Equivalence | 11 |         |    0 | 00/4000               | chrRET2           =       $8d            
   26 |  1     cauchemarhouse.s     26 | Equivalence | 11 |         |    0 | 00/4000               | chrSPC2           =       $a0            
   27 |  1     cauchemarhouse.s     27 | Equivalence | 11 |         |    0 | 00/4000               | TEXTBUFFER        =       $200           
   28 |  1     cauchemarhouse.s     28 | Empty       | 11 |         |    0 | 00/4000               |                                          
   29 |  1     cauchemarhouse.s     29 | Equivalence | 11 |         |    0 | 00/4000               | chrOUI            =       "O"            
   30 |  1     cauchemarhouse.s     30 | Equivalence | 11 |         |    0 | 00/4000               | chrNON            =       "N"            
   31 |  1     cauchemarhouse.s     31 | Empty       | 11 |         |    0 | 00/4000               |                                          
   32 |  1     cauchemarhouse.s     32 | Equivalence | 11 |         |    0 | 00/4000               | PRODOS            =       $bf00          
   33 |  1     cauchemarhouse.s     33 | Empty       | 11 |         |    0 | 00/4000               |                                          
   34 |  1     cauchemarhouse.s     34 | Equivalence | 11 |         |    0 | 00/4000               | KBD               =       $c000          
   35 |  1     cauchemarhouse.s     35 | Equivalence | 11 |         |    0 | 00/4000               | CLR80VID          =       $c00c          
   36 |  1     cauchemarhouse.s     36 | Equivalence | 11 |         |    0 | 00/4000               | KBDSTROBE         =       $c010          
   37 |  1     cauchemarhouse.s     37 | Equivalence | 11 |         |    0 | 00/4000               | VBL               =       $c019          
   38 |  1     cauchemarhouse.s     38 | Equivalence | 11 |         |    0 | 00/4000               | VERTCNT           =       $c02e          
   39 |  1     cauchemarhouse.s     39 | Equivalence | 11 |         |    0 | 00/4000               | SPKR              =       $c030          
   40 |  1     cauchemarhouse.s     40 | Equivalence | 11 |         |    0 | 00/4000               | CYAREG            =       $C036          
   41 |  1     cauchemarhouse.s     41 | Equivalence | 11 |         |    0 | 00/4000               | TXTCLR            =       $c050          
   42 |  1     cauchemarhouse.s     42 | Equivalence | 11 |         |    0 | 00/4000               | TXTSET            =       $c051          
   43 |  1     cauchemarhouse.s     43 | Empty       | 11 |         |    0 | 00/4000               |                                          
   44 |  1     cauchemarhouse.s     44 | Comment     | 11 |         |    0 | 00/4000               | *--- The firmware routines
   45 |  1     cauchemarhouse.s     45 | Empty       | 11 |         |    0 | 00/4000               |                                          
   46 |  1     cauchemarhouse.s     46 | Equivalence | 11 |         |    0 | 00/4000               | INIT              =       $FB2F          
   47 |  1     cauchemarhouse.s     47 | Equivalence | 11 |         |    0 | 00/4000               | TABV              =       $FB5B          
   48 |  1     cauchemarhouse.s     48 | Equivalence | 11 |         |    0 | 00/4000               | HOME              =       $FC58          
   49 |  1     cauchemarhouse.s     49 | Equivalence | 11 |         |    0 | 00/4000               | WAIT              =       $FCA8          
   50 |  1     cauchemarhouse.s     50 | Equivalence | 11 |         |    0 | 00/4000               | RDKEY             =       $FD0C          
   51 |  1     cauchemarhouse.s     51 | Equivalence | 11 |         |    0 | 00/4000               | GETLN1            =       $FD6F          
   52 |  1     cauchemarhouse.s     52 | Equivalence | 11 |         |    0 | 00/4000               | COUT              =       $FDED          
   53 |  1     cauchemarhouse.s     53 | Equivalence | 11 |         |    0 | 00/4000               | IDROUTINE         =       $FE1F          
   54 |  1     cauchemarhouse.s     54 | Equivalence | 11 |         |    0 | 00/4000               | SETNORM           =       $FE84          
   55 |  1     cauchemarhouse.s     55 | Equivalence | 11 |         |    0 | 00/4000               | SETKBD            =       $FE89          
   56 |  1     cauchemarhouse.s     56 | Empty       | 11 |         |    0 | 00/4000               |                                          
   57 |  1     cauchemarhouse.s     57 | Comment     | 11 |         |    0 | 00/4000               | *-----------------------------------
   58 |  1     cauchemarhouse.s     58 | Comment     | 11 |         |    0 | 00/4000               | * MACROS
   59 |  1     cauchemarhouse.s     59 | Comment     | 11 |         |    0 | 00/4000               | *-----------------------------------
   60 |  1     cauchemarhouse.s     60 | Empty       | 11 |         |    0 | 00/4000               |                                          
   61 |  1     cauchemarhouse.s     61 | Directive   | 11 |         |    0 | 00/4000               | @explode          mac                    
   62 |  1     cauchemarhouse.s     62 | Directive   | 11 |         |    0 | 00/4000               |                   jsr     EXPLODE        
   63 |  1     cauchemarhouse.s     63 | Directive   | 11 |         |    0 | 00/4000               |                   eom                    
   64 |  1     cauchemarhouse.s     64 | Empty       | 11 |         |    0 | 00/4000               |                                          
   65 |  1     cauchemarhouse.s     65 | Directive   | 11 |         |    0 | 00/4000               | @play             mac                    
   66 |  1     cauchemarhouse.s     66 | Directive   | 11 |         |    0 | 00/4000               |                   ldx     #>]1           
   67 |  1     cauchemarhouse.s     67 | Directive   | 11 |         |    0 | 00/4000               |                   ldy     #<]1           
   68 |  1     cauchemarhouse.s     68 | Directive   | 11 |         |    0 | 00/4000               |                   jsr     playMUSIC      
   69 |  1     cauchemarhouse.s     69 | Directive   | 11 |         |    0 | 00/4000               |                   eom                    
   70 |  1     cauchemarhouse.s     70 | Empty       | 11 |         |    0 | 00/4000               |                                          
   71 |  1     cauchemarhouse.s     71 | Directive   | 11 |         |    0 | 00/4000               | @print            mac                    
   72 |  1     cauchemarhouse.s     72 | Directive   | 11 |         |    0 | 00/4000               |                   ldx     #>]1           
   73 |  1     cauchemarhouse.s     73 | Directive   | 11 |         |    0 | 00/4000               |                   ldy     #<]1           
   74 |  1     cauchemarhouse.s     74 | Directive   | 11 |         |    0 | 00/4000               |                   jsr     printCSTRING   
   75 |  1     cauchemarhouse.s     75 | Directive   | 11 |         |    0 | 00/4000               |                   eom                    
   76 |  1     cauchemarhouse.s     76 | Empty       | 11 |         |    0 | 00/4000               |                                          
   77 |  1     cauchemarhouse.s     77 | Directive   | 11 |         |    0 | 00/4000               | @wait             mac                    
   78 |  1     cauchemarhouse.s     78 | Directive   | 11 |         |    0 | 00/4000               |                   ldx     #>]1           
   79 |  1     cauchemarhouse.s     79 | Directive   | 11 |         |    0 | 00/4000               |                   ldy     #<]1           
   80 |  1     cauchemarhouse.s     80 | Directive   | 11 |         |    0 | 00/4000               |                   jsr     waitMS         
   81 |  1     cauchemarhouse.s     81 | Directive   | 11 |         |    0 | 00/4000               |                   eom                    
   82 |  1     cauchemarhouse.s     82 | Empty       | 11 |         |    0 | 00/4000               |                                          
   83 |  1     cauchemarhouse.s     83 | Comment     | 11 |         |    0 | 00/4000               | *-----------------------------------
   84 |  1     cauchemarhouse.s     84 | Comment     | 11 |         |    0 | 00/4000               | * CODE BASIC EN ASM :-)
   85 |  1     cauchemarhouse.s     85 | Comment     | 11 |         |    0 | 00/4000               | *-----------------------------------
   86 |  1     cauchemarhouse.s     86 | Empty       | 11 |         |    0 | 00/4000               |                                          
   87 |  1     cauchemarhouse.s     87 | Code        | 11 |         |    1 | 00/4000 : 38          |                   sec                    
   88 |  1     cauchemarhouse.s     88 | Code        | 11 |         |    3 | 00/4001 : 20 1F FE    |                   jsr     {$FE1F}        
   89 |  1     cauchemarhouse.s     89 | Code        | 11 |         |    2 | 00/4004 : B0 0B       |                   bcs     notiigs        
   90 |  1     cauchemarhouse.s     90 | Empty       | 11 |         |    0 | 00/4006               |                                          
   91 |  1     cauchemarhouse.s     91 | Code        | 11 |         |    3 | 00/4006 : AD 36 C0    |                   lda     {$C036}        ; 1 MHz vaincra!
   92 |  1     cauchemarhouse.s     92 | Code        | 11 |         |    3 | 00/4009 : 8D D1 48    |                   sta     sauveCYA       
   93 |  1     cauchemarhouse.s     93 | Code        | 11 |         |    2 | 00/400C : 29 7F       |                   and     #%0111_1111    
   94 |  1     cauchemarhouse.s     94 | Code        | 11 |         |    3 | 00/400E : 8D 36 C0    |                   sta     {$C036}        
   95 |  1     cauchemarhouse.s     95 | Empty       | 11 |         |    0 | 00/4011               | notiigs                                  
   96 |  1     cauchemarhouse.s     96 | Empty       | 11 |         |    0 | 00/4011               |                                          
   97 |  1     cauchemarhouse.s     97 | Comment     | 11 |         |    0 | 00/4011               | *-------- CAN WE DO lowercase?
   98 |  1     cauchemarhouse.s     98 | Empty       | 11 |         |    0 | 00/4011               |                                          
