------+------------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
 Line | # File            Line | Line Type   | MX |  Reloc  | Size | Address   Object Code |  Source Code                                                      
------+------------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
    1 |  1   TalkEdit.S      1 | Comment     | 11 |         |    0 | 00/0000               | *
    2 |  1   TalkEdit.S      2 | Comment     | 11 |         |    0 | 00/0000               | * HypercardGS
    3 |  1   TalkEdit.S      3 | Comment     | 11 |         |    0 | 00/0000               | * segment: $0F TalkEdit
    4 |  1   TalkEdit.S      4 | Comment     | 11 |         |    0 | 00/0000               | *
    5 |  1   TalkEdit.S      5 | Comment     | 11 |         |    0 | 00/0000               | * (k) 2015, Brutal Deluxe Software
    6 |  1   TalkEdit.S      6 | Comment     | 11 |         |    0 | 00/0000               | *
    7 |  1   TalkEdit.S      7 | Empty       | 11 |         |    0 | 00/0000               |                                  
    8 |  1   TalkEdit.S      8 | Directive   | 00 |         |    0 | 00/0000               |             mx    %00            
    9 |  1   TalkEdit.S      9 | Directive   | 00 |         |    0 | 00/0000               |             rel                  
   10 |  1   TalkEdit.S     10 | Directive   | 00 |         |    0 | 00/0000               |             dsk   TalkEdit.l     
   11 |  1   TalkEdit.S     11 | Directive   | 00 |         |    0 | 00/0000               |             lst   off            
   12 |  1   TalkEdit.S     12 | Empty       | 00 |         |    0 | 00/0000               |                                  
   13 |  1   TalkEdit.S     13 | Comment     | 00 |         |    0 | 00/0000               | *---------------------------------------
   14 |  1   TalkEdit.S     14 | Empty       | 00 |         |    0 | 00/0000               |                                  
   15 |  1   TalkEdit.S     15 | Directive   | 00 |         |    0 | 00/0000               |             use   TalkEdit.E     
   16 |  2 TalkEdit.E.s      1 | Empty       | 00 |         |    0 | 00/0000               |                                  
   17 |  2 TalkEdit.E.s      2 | Comment     | 00 |         |    0 | 00/0000               | * TFBD generated equates
   18 |  2 TalkEdit.E.s      3 | Comment     | 00 |         |    0 | 00/0000               | *    (c) PHC 1992,93
   19 |  2 TalkEdit.E.s      4 | Empty       | 00 |         |    0 | 00/0000               |                                  
   20 |  2 TalkEdit.E.s      5 | Empty       | 00 |         |    0 | 00/0000               |                                  
   21 |  2 TalkEdit.E.s      6 | Empty       | 00 |         |    0 | 00/0000               |                                  
   22 |  1   TalkEdit.S     16 | Directive   | 00 |         |    0 | 00/0000               |             use   TalkEdit.X     
   23 |  3 TalkEdit.X.s      1 | Empty       | 00 |         |    0 | 00/0000               |                                  
   24 |  3 TalkEdit.X.s      2 | Comment     | 00 |         |    0 | 00/0000               | * TFBD generated externals
   25 |  3 TalkEdit.X.s      3 | Comment     | 00 |         |    0 | 00/0000               | *     (c) PHC 1992,93
   26 |  3 TalkEdit.X.s      4 | Empty       | 00 |         |    0 | 00/0000               |                                  
   27 |  3 TalkEdit.X.s      5 | Empty       | 00 |         |    0 | 00/0000               |                                  
   28 |  3 TalkEdit.X.s      6 | External    | 00 |         |    0 | 00/0000               | L033477     EXT                  
   29 |  3 TalkEdit.X.s      7 | External    | 00 |         |    0 | 00/0000               | L0313BE     EXT                  
   30 |  3 TalkEdit.X.s      8 | External    | 00 |         |    0 | 00/0000               | L05565D     EXT                  
   31 |  3 TalkEdit.X.s      9 | External    | 00 |         |    0 | 00/0000               | L150488     EXT                  
   32 |  3 TalkEdit.X.s     10 | External    | 00 |         |    0 | 00/0000               | L150F53     EXT                  
   33 |  3 TalkEdit.X.s     11 | External    | 00 |         |    0 | 00/0000               | L071FF8     EXT                  
   34 |  3 TalkEdit.X.s     12 | External    | 00 |         |    0 | 00/0000               | L07346C     EXT                  
   35 |  3 TalkEdit.X.s     13 | External    | 00 |         |    0 | 00/0000               | L1509CE     EXT                  
   36 |  3 TalkEdit.X.s     14 | External    | 00 |         |    0 | 00/0000               | L072314     EXT                  
   37 |  3 TalkEdit.X.s     15 | External    | 00 |         |    0 | 00/0000               | L1512A5     EXT                  
   38 |  3 TalkEdit.X.s     16 | External    | 00 |         |    0 | 00/0000               | L07187A     EXT                  
   39 |  3 TalkEdit.X.s     17 | External    | 00 |         |    0 | 00/0000               | L0553B3     EXT                  
   40 |  3 TalkEdit.X.s     18 | External    | 00 |         |    0 | 00/0000               | L055039     EXT                  
   41 |  3 TalkEdit.X.s     19 | External    | 00 |         |    0 | 00/0000               | L05503B     EXT                  
   42 |  3 TalkEdit.X.s     20 | External    | 00 |         |    0 | 00/0000               | L072CD4     EXT                  
   43 |  3 TalkEdit.X.s     21 | External    | 00 |         |    0 | 00/0000               | L073C22     EXT                  
   44 |  3 TalkEdit.X.s     22 | External    | 00 |         |    0 | 00/0000               | L0727E0     EXT                  
   45 |  3 TalkEdit.X.s     23 | External    | 00 |         |    0 | 00/0000               | L07ABAE     EXT                  
   46 |  3 TalkEdit.X.s     24 | External    | 00 |         |    0 | 00/0000               | L071C56     EXT                  
   47 |  3 TalkEdit.X.s     25 | External    | 00 |         |    0 | 00/0000               | L071C98     EXT                  
   48 |  3 TalkEdit.X.s     26 | External    | 00 |         |    0 | 00/0000               | L0727BF     EXT                  
   49 |  3 TalkEdit.X.s     27 | External    | 00 |         |    0 | 00/0000               | L07185A     EXT                  
   50 |  3 TalkEdit.X.s     28 | External    | 00 |         |    0 | 00/0000               | L0734F5     EXT                  
   51 |  3 TalkEdit.X.s     29 | External    | 00 |         |    0 | 00/0000               | L072834     EXT                  
   52 |  3 TalkEdit.X.s     30 | External    | 00 |         |    0 | 00/0000               | L0736C8     EXT                  
   53 |  3 TalkEdit.X.s     31 | External    | 00 |         |    0 | 00/0000               | L072634     EXT                  
   54 |  3 TalkEdit.X.s     32 | External    | 00 |         |    0 | 00/0000               | L0724F7     EXT                  
   55 |  3 TalkEdit.X.s     33 | External    | 00 |         |    0 | 00/0000               | L0715D9     EXT                  
   56 |  3 TalkEdit.X.s     34 | External    | 00 |         |    0 | 00/0000               | L072E7C     EXT                  
   57 |  3 TalkEdit.X.s     35 | External    | 00 |         |    0 | 00/0000               | L071169     EXT                  
   58 |  3 TalkEdit.X.s     36 | External    | 00 |         |    0 | 00/0000               | L078A05     EXT                  
   59 |  3 TalkEdit.X.s     37 | External    | 00 |         |    0 | 00/0000               | L070669     EXT                  
   60 |  3 TalkEdit.X.s     38 | External    | 00 |         |    0 | 00/0000               | L071C12     EXT                  
   61 |  3 TalkEdit.X.s     39 | External    | 00 |         |    0 | 00/0000               | L071CE4     EXT                  
   62 |  3 TalkEdit.X.s     40 | External    | 00 |         |    0 | 00/0000               | L054FBD     EXT                  
   63 |  3 TalkEdit.X.s     41 | External    | 00 |         |    0 | 00/0000               | L151367     EXT                  
   64 |  3 TalkEdit.X.s     42 | External    | 00 |         |    0 | 00/0000               | L150493     EXT                  
   65 |  3 TalkEdit.X.s     43 | External    | 00 |         |    0 | 00/0000               | L151301     EXT                  
   66 |  3 TalkEdit.X.s     44 | External    | 00 |         |    0 | 00/0000               | L15102F     EXT                  
   67 |  3 TalkEdit.X.s     45 | External    | 00 |         |    0 | 00/0000               | L151131     EXT                  
   68 |  3 TalkEdit.X.s     46 | External    | 00 |         |    0 | 00/0000               | L150365     EXT                  
   69 |  3 TalkEdit.X.s     47 | External    | 00 |         |    0 | 00/0000               | L150241     EXT                  
   70 |  3 TalkEdit.X.s     48 | External    | 00 |         |    0 | 00/0000               | L1513F4     EXT                  
   71 |  3 TalkEdit.X.s     49 | External    | 00 |         |    0 | 00/0000               | L150070     EXT                  
   72 |  3 TalkEdit.X.s     50 | External    | 00 |         |    0 | 00/0000               | L0540A1     EXT                  
   73 |  3 TalkEdit.X.s     51 | External    | 00 |         |    0 | 00/0000               | L05409F     EXT                  
   74 |  3 TalkEdit.X.s     52 | External    | 00 |         |    0 | 00/0000               | L0540C5     EXT                  
   75 |  3 TalkEdit.X.s     53 | External    | 00 |         |    0 | 00/0000               | L0540AB     EXT                  
   76 |  3 TalkEdit.X.s     54 | External    | 00 |         |    0 | 00/0000               | L0540A9     EXT                  
   77 |  3 TalkEdit.X.s     55 | External    | 00 |         |    0 | 00/0000               | L150482     EXT                  
   78 |  3 TalkEdit.X.s     56 | External    | 00 |         |    0 | 00/0000               | L150BE8     EXT                  
   79 |  3 TalkEdit.X.s     57 | External    | 00 |         |    0 | 00/0000               | L1512CB     EXT                  
   80 |  3 TalkEdit.X.s     58 | External    | 00 |         |    0 | 00/0000               | L1511CE     EXT                  
   81 |  3 TalkEdit.X.s     59 | External    | 00 |         |    0 | 00/0000               | L055045     EXT                  
   82 |  3 TalkEdit.X.s     60 | External    | 00 |         |    0 | 00/0000               | L055043     EXT                  
   83 |  3 TalkEdit.X.s     61 | External    | 00 |         |    0 | 00/0000               | L054FB3     EXT                  
   84 |  3 TalkEdit.X.s     62 | External    | 00 |         |    0 | 00/0000               | L055051     EXT                  
   85 |  3 TalkEdit.X.s     63 | External    | 00 |         |    0 | 00/0000               | L05503F     EXT                  
   86 |  3 TalkEdit.X.s     64 | External    | 00 |         |    0 | 00/0000               | L055041     EXT                  
   87 |  3 TalkEdit.X.s     65 | External    | 00 |         |    0 | 00/0000               | L08273B     EXT                  
   88 |  3 TalkEdit.X.s     66 | External    | 00 |         |    0 | 00/0000               | L07010A     EXT                  
   89 |  3 TalkEdit.X.s     67 | External    | 00 |         |    0 | 00/0000               | L150B34     EXT                  
   90 |  3 TalkEdit.X.s     68 | External    | 00 |         |    0 | 00/0000               | L073CDF     EXT                  
   91 |  3 TalkEdit.X.s     69 | External    | 00 |         |    0 | 00/0000               | L055145     EXT                  
   92 |  3 TalkEdit.X.s     70 | External    | 00 |         |    0 | 00/0000               | L0903A6     EXT                  
   93 |  3 TalkEdit.X.s     71 | External    | 00 |         |    0 | 00/0000               | L09771E     EXT                  
   94 |  3 TalkEdit.X.s     72 | External    | 00 |         |    0 | 00/0000               | L095FB4     EXT                  
   95 |  3 TalkEdit.X.s     73 | External    | 00 |         |    0 | 00/0000               | L150B22     EXT                  
   96 |  3 TalkEdit.X.s     74 | External    | 00 |         |    0 | 00/0000               | L073002     EXT                  
   97 |  3 TalkEdit.X.s     75 | External    | 00 |         |    0 | 00/0000               | L076220     EXT                  
   98 |  3 TalkEdit.X.s     76 | External    | 00 |         |    0 | 00/0000               | L151299     EXT                  
   99 |  3 TalkEdit.X.s     77 | External    | 00 |         |    0 | 00/0000               | L15059E     EXT                  
  100 |  3 TalkEdit.X.s     78 | External    | 00 |         |    0 | 00/0000               | L15000C     EXT                  
  101 |  3 TalkEdit.X.s     79 | External    | 00 |         |    0 | 00/0000               | L07AA4B     EXT                  
  102 |  3 TalkEdit.X.s     80 | External    | 00 |         |    0 | 00/0000               | L071498     EXT                  
  103 |  3 TalkEdit.X.s     81 | External    | 00 |         |    0 | 00/0000               | L150B28     EXT                  
  104 |  3 TalkEdit.X.s     82 | External    | 00 |         |    0 | 00/0000               | L150006     EXT                  
  105 |  3 TalkEdit.X.s     83 | External    | 00 |         |    0 | 00/0000               | L041573     EXT                  
  106 |  3 TalkEdit.X.s     84 | External    | 00 |         |    0 | 00/0000               | L0550F3     EXT                  
  107 |  3 TalkEdit.X.s     85 | External    | 00 |         |    0 | 00/0000               | L0550F5     EXT                  
  108 |  3 TalkEdit.X.s     86 | External    | 00 |         |    0 | 00/0000               | L0550F7     EXT                  
  109 |  3 TalkEdit.X.s     87 | External    | 00 |         |    0 | 00/0000               | L0550F1     EXT                  
  110 |  3 TalkEdit.X.s     88 | External    | 00 |         |    0 | 00/0000               | L090A90     EXT                  
  111 |  3 TalkEdit.X.s     89 | External    | 00 |         |    0 | 00/0000               | L150000     EXT                  
  112 |  3 TalkEdit.X.s     90 | External    | 00 |         |    0 | 00/0000               | L15128D     EXT                  
  113 |  3 TalkEdit.X.s     91 | External    | 00 |         |    0 | 00/0000               | L150FED     EXT                  
  114 |  3 TalkEdit.X.s     92 | External    | 00 |         |    0 | 00/0000               | L150B58     EXT                  
  115 |  3 TalkEdit.X.s     93 | External    | 00 |         |    0 | 00/0000               | L05510D     EXT                  
  116 |  3 TalkEdit.X.s     94 | External    | 00 |         |    0 | 00/0000               | L0B0361     EXT                  
  117 |  3 TalkEdit.X.s     95 | External    | 00 |         |    0 | 00/0000               | L0B381C     EXT                  
  118 |  3 TalkEdit.X.s     96 | External    | 00 |         |    0 | 00/0000               | L0B0B7A     EXT                  
  119 |  3 TalkEdit.X.s     97 | External    | 00 |         |    0 | 00/0000               | L0B1A77     EXT                  
  120 |  3 TalkEdit.X.s     98 | External    | 00 |         |    0 | 00/0000               | L0B2A91     EXT                  
  121 |  3 TalkEdit.X.s     99 | External    | 00 |         |    0 | 00/0000               | L0B2AF9     EXT                  
  122 |  3 TalkEdit.X.s    100 | External    | 00 |         |    0 | 00/0000               | L150F73     EXT                  
  123 |  3 TalkEdit.X.s    101 | External    | 00 |         |    0 | 00/0000               | L0D109F     EXT                  
  124 |  3 TalkEdit.X.s    102 | External    | 00 |         |    0 | 00/0000               | L07AE68     EXT                  
  125 |  3 TalkEdit.X.s    103 | External    | 00 |         |    0 | 00/0000               | L07AACB     EXT                  
  126 |  3 TalkEdit.X.s    104 | External    | 00 |         |    0 | 00/0000               | L051BE6     EXT                  
  127 |  3 TalkEdit.X.s    105 | External    | 00 |         |    0 | 00/0000               | L051BE2     EXT                  
  128 |  3 TalkEdit.X.s    106 | External    | 00 |         |    0 | 00/0000               | L0E0838     EXT                  
  129 |  3 TalkEdit.X.s    107 | External    | 00 |         |    0 | 00/0000               | L0E0154     EXT                  
  130 |  3 TalkEdit.X.s    108 | External    | 00 |         |    0 | 00/0000               | L07ACF0     EXT                  
  131 |  3 TalkEdit.X.s    109 | External    | 00 |         |    0 | 00/0000               | L041593     EXT                  
  132 |  3 TalkEdit.X.s    110 | External    | 00 |         |    0 | 00/0000               | L0553B5     EXT                  
  133 |  3 TalkEdit.X.s    111 | External    | 00 |         |    0 | 00/0000               | L0553B7     EXT                  
  134 |  3 TalkEdit.X.s    112 | External    | 00 |         |    0 | 00/0000               | L055371     EXT                  
  135 |  3 TalkEdit.X.s    113 | External    | 00 |         |    0 | 00/0000               | L0553B9     EXT                  
  136 |  3 TalkEdit.X.s    114 | External    | 00 |         |    0 | 00/0000               | L0553BB     EXT                  
  137 |  3 TalkEdit.X.s    115 | External    | 00 |         |    0 | 00/0000               | L05536F     EXT                  
  138 |  3 TalkEdit.X.s    116 | External    | 00 |         |    0 | 00/0000               | L05540D     EXT                  
  139 |  3 TalkEdit.X.s    117 | External    | 00 |         |    0 | 00/0000               | L05540B     EXT                  
  140 |  3 TalkEdit.X.s    118 | External    | 00 |         |    0 | 00/0000               | L0553E3     EXT                  
  141 |  3 TalkEdit.X.s    119 | External    | 00 |         |    0 | 00/0000               | L0553E5     EXT                  
  142 |  3 TalkEdit.X.s    120 | External    | 00 |         |    0 | 00/0000               | L0553ED     EXT                  
  143 |  3 TalkEdit.X.s    121 | External    | 00 |         |    0 | 00/0000               | L055407     EXT                  
  144 |  3 TalkEdit.X.s    122 | External    | 00 |         |    0 | 00/0000               | L0553E1     EXT                  
  145 |  3 TalkEdit.X.s    123 | External    | 00 |         |    0 | 00/0000               | L0553DF     EXT                  
  146 |  3 TalkEdit.X.s    124 | External    | 00 |         |    0 | 00/0000               | L0553E7     EXT                  
  147 |  3 TalkEdit.X.s    125 | External    | 00 |         |    0 | 00/0000               | L055409     EXT                  
  148 |  3 TalkEdit.X.s    126 | External    | 00 |         |    0 | 00/0000               | L0553F3     EXT                  
  149 |  3 TalkEdit.X.s    127 | External    | 00 |         |    0 | 00/0000               | L0553F5     EXT                  
  150 |  3 TalkEdit.X.s    128 | External    | 00 |         |    0 | 00/0000               | L160720     EXT                  
  151 |  3 TalkEdit.X.s    129 | External    | 00 |         |    0 | 00/0000               | L151645     EXT                  
  152 |  3 TalkEdit.X.s    130 | External    | 00 |         |    0 | 00/0000               | L151484     EXT                  
  153 |  3 TalkEdit.X.s    131 | External    | 00 |         |    0 | 00/0000               | L0540AD     EXT                  
  154 |  3 TalkEdit.X.s    132 | External    | 00 |         |    0 | 00/0000               | L0B41C8     EXT                  
