------+--------------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
 Line | # File              Line | Line Type   | MX |  Reloc  | Size | Address   Object Code |  Source Code                                                      
------+--------------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
    1 |  1   InfoDialog.S      1 | Comment     | 11 |         |    0 | 00/0000               | *
    2 |  1   InfoDialog.S      2 | Comment     | 11 |         |    0 | 00/0000               | * HypercardGS
    3 |  1   InfoDialog.S      3 | Comment     | 11 |         |    0 | 00/0000               | * segment: $19 InfoDialog
    4 |  1   InfoDialog.S      4 | Comment     | 11 |         |    0 | 00/0000               | *
    5 |  1   InfoDialog.S      5 | Comment     | 11 |         |    0 | 00/0000               | * (k) 2015, Brutal Deluxe Software
    6 |  1   InfoDialog.S      6 | Comment     | 11 |         |    0 | 00/0000               | *
    7 |  1   InfoDialog.S      7 | Empty       | 11 |         |    0 | 00/0000               |                                  
    8 |  1   InfoDialog.S      8 | Directive   | 00 |         |    0 | 00/0000               |             mx    %00            
    9 |  1   InfoDialog.S      9 | Directive   | 00 |         |    0 | 00/0000               |             rel                  
   10 |  1   InfoDialog.S     10 | Directive   | 00 |         |    0 | 00/0000               |             dsk   InfoDialog.l   
   11 |  1   InfoDialog.S     11 | Directive   | 00 |         |    0 | 00/0000               |             lst   off            
   12 |  1   InfoDialog.S     12 | Empty       | 00 |         |    0 | 00/0000               |                                  
   13 |  1   InfoDialog.S     13 | Comment     | 00 |         |    0 | 00/0000               | *---------------------------------------
   14 |  1   InfoDialog.S     14 | Empty       | 00 |         |    0 | 00/0000               |                                  
   15 |  1   InfoDialog.S     15 | Directive   | 00 |         |    0 | 00/0000               |             use   InfoDialog.E   
   16 |  2 InfoDialog.E.s      1 | Empty       | 00 |         |    0 | 00/0000               |                                  
   17 |  2 InfoDialog.E.s      2 | Comment     | 00 |         |    0 | 00/0000               | * TFBD generated equates
   18 |  2 InfoDialog.E.s      3 | Comment     | 00 |         |    0 | 00/0000               | *    (c) PHC 1992,93
   19 |  2 InfoDialog.E.s      4 | Empty       | 00 |         |    0 | 00/0000               |                                  
   20 |  2 InfoDialog.E.s      5 | Empty       | 00 |         |    0 | 00/0000               |                                  
   21 |  2 InfoDialog.E.s      6 | Empty       | 00 |         |    0 | 00/0000               |                                  
   22 |  1   InfoDialog.S     16 | Directive   | 00 |         |    0 | 00/0000               |             use   InfoDialog.X   
   23 |  3 InfoDialog.X.s      1 | Empty       | 00 |         |    0 | 00/0000               |                                  
   24 |  3 InfoDialog.X.s      2 | Comment     | 00 |         |    0 | 00/0000               | * TFBD generated externals
   25 |  3 InfoDialog.X.s      3 | Comment     | 00 |         |    0 | 00/0000               | *     (c) PHC 1992,93
   26 |  3 InfoDialog.X.s      4 | Empty       | 00 |         |    0 | 00/0000               |                                  
   27 |  3 InfoDialog.X.s      5 | Empty       | 00 |         |    0 | 00/0000               |                                  
   28 |  3 InfoDialog.X.s      6 | External    | 00 |         |    0 | 00/0000               | L033477     EXT                  
   29 |  3 InfoDialog.X.s      7 | External    | 00 |         |    0 | 00/0000               | L0313BE     EXT                  
   30 |  3 InfoDialog.X.s      8 | External    | 00 |         |    0 | 00/0000               | L05565D     EXT                  
   31 |  3 InfoDialog.X.s      9 | External    | 00 |         |    0 | 00/0000               | L150488     EXT                  
   32 |  3 InfoDialog.X.s     10 | External    | 00 |         |    0 | 00/0000               | L150D50     EXT                  
   33 |  3 InfoDialog.X.s     11 | External    | 00 |         |    0 | 00/0000               | L150F53     EXT                  
   34 |  3 InfoDialog.X.s     12 | External    | 00 |         |    0 | 00/0000               | L071BFF     EXT                  
   35 |  3 InfoDialog.X.s     13 | External    | 00 |         |    0 | 00/0000               | L071AA4     EXT                  
   36 |  3 InfoDialog.X.s     14 | External    | 00 |         |    0 | 00/0000               | L071DE3     EXT                  
   37 |  3 InfoDialog.X.s     15 | External    | 00 |         |    0 | 00/0000               | L07346C     EXT                  
   38 |  3 InfoDialog.X.s     16 | External    | 00 |         |    0 | 00/0000               | L1509CE     EXT                  
   39 |  3 InfoDialog.X.s     17 | External    | 00 |         |    0 | 00/0000               | L07191C     EXT                  
   40 |  3 InfoDialog.X.s     18 | External    | 00 |         |    0 | 00/0000               | L07AD84     EXT                  
   41 |  3 InfoDialog.X.s     19 | External    | 00 |         |    0 | 00/0000               | L0903F2     EXT                  
   42 |  3 InfoDialog.X.s     20 | External    | 00 |         |    0 | 00/0000               | L055039     EXT                  
   43 |  3 InfoDialog.X.s     21 | External    | 00 |         |    0 | 00/0000               | L05503B     EXT                  
   44 |  3 InfoDialog.X.s     22 | External    | 00 |         |    0 | 00/0000               | L072CD4     EXT                  
   45 |  3 InfoDialog.X.s     23 | External    | 00 |         |    0 | 00/0000               | L073C22     EXT                  
   46 |  3 InfoDialog.X.s     24 | External    | 00 |         |    0 | 00/0000               | L0727E0     EXT                  
   47 |  3 InfoDialog.X.s     25 | External    | 00 |         |    0 | 00/0000               | L071A1B     EXT                  
   48 |  3 InfoDialog.X.s     26 | External    | 00 |         |    0 | 00/0000               | L071C56     EXT                  
   49 |  3 InfoDialog.X.s     27 | External    | 00 |         |    0 | 00/0000               | L072FD5     EXT                  
   50 |  3 InfoDialog.X.s     28 | External    | 00 |         |    0 | 00/0000               | L072FA6     EXT                  
   51 |  3 InfoDialog.X.s     29 | External    | 00 |         |    0 | 00/0000               | L0727BF     EXT                  
   52 |  3 InfoDialog.X.s     30 | External    | 00 |         |    0 | 00/0000               | L07185A     EXT                  
   53 |  3 InfoDialog.X.s     31 | External    | 00 |         |    0 | 00/0000               | L072834     EXT                  
   54 |  3 InfoDialog.X.s     32 | External    | 00 |         |    0 | 00/0000               | L072E4C     EXT                  
   55 |  3 InfoDialog.X.s     33 | External    | 00 |         |    0 | 00/0000               | L073D2E     EXT                  
   56 |  3 InfoDialog.X.s     34 | External    | 00 |         |    0 | 00/0000               | L0736C8     EXT                  
   57 |  3 InfoDialog.X.s     35 | External    | 00 |         |    0 | 00/0000               | L072634     EXT                  
   58 |  3 InfoDialog.X.s     36 | External    | 00 |         |    0 | 00/0000               | L0724F7     EXT                  
   59 |  3 InfoDialog.X.s     37 | External    | 00 |         |    0 | 00/0000               | L0711EB     EXT                  
   60 |  3 InfoDialog.X.s     38 | External    | 00 |         |    0 | 00/0000               | L071EC5     EXT                  
   61 |  3 InfoDialog.X.s     39 | External    | 00 |         |    0 | 00/0000               | L0715D9     EXT                  
   62 |  3 InfoDialog.X.s     40 | External    | 00 |         |    0 | 00/0000               | L072E7C     EXT                  
   63 |  3 InfoDialog.X.s     41 | External    | 00 |         |    0 | 00/0000               | L078CA4     EXT                  
   64 |  3 InfoDialog.X.s     42 | External    | 00 |         |    0 | 00/0000               | L077086     EXT                  
   65 |  3 InfoDialog.X.s     43 | External    | 00 |         |    0 | 00/0000               | L07869F     EXT                  
   66 |  3 InfoDialog.X.s     44 | External    | 00 |         |    0 | 00/0000               | L071169     EXT                  
   67 |  3 InfoDialog.X.s     45 | External    | 00 |         |    0 | 00/0000               | L0714B3     EXT                  
   68 |  3 InfoDialog.X.s     46 | External    | 00 |         |    0 | 00/0000               | L073FDF     EXT                  
   69 |  3 InfoDialog.X.s     47 | External    | 00 |         |    0 | 00/0000               | L070A10     EXT                  
   70 |  3 InfoDialog.X.s     48 | External    | 00 |         |    0 | 00/0000               | L07B114     EXT                  
   71 |  3 InfoDialog.X.s     49 | External    | 00 |         |    0 | 00/0000               | L07721A     EXT                  
   72 |  3 InfoDialog.X.s     50 | External    | 00 |         |    0 | 00/0000               | L074A24     EXT                  
   73 |  3 InfoDialog.X.s     51 | External    | 00 |         |    0 | 00/0000               | L0772AE     EXT                  
   74 |  3 InfoDialog.X.s     52 | External    | 00 |         |    0 | 00/0000               | L074A90     EXT                  
   75 |  3 InfoDialog.X.s     53 | External    | 00 |         |    0 | 00/0000               | L07977D     EXT                  
   76 |  3 InfoDialog.X.s     54 | External    | 00 |         |    0 | 00/0000               | L054FBD     EXT                  
   77 |  3 InfoDialog.X.s     55 | External    | 00 |         |    0 | 00/0000               | L151367     EXT                  
   78 |  3 InfoDialog.X.s     56 | External    | 00 |         |    0 | 00/0000               | L150493     EXT                  
   79 |  3 InfoDialog.X.s     57 | External    | 00 |         |    0 | 00/0000               | L15163F     EXT                  
   80 |  3 InfoDialog.X.s     58 | External    | 00 |         |    0 | 00/0000               | L15102F     EXT                  
   81 |  3 InfoDialog.X.s     59 | External    | 00 |         |    0 | 00/0000               | L151131     EXT                  
   82 |  3 InfoDialog.X.s     60 | External    | 00 |         |    0 | 00/0000               | L150371     EXT                  
   83 |  3 InfoDialog.X.s     61 | External    | 00 |         |    0 | 00/0000               | L150BEE     EXT                  
   84 |  3 InfoDialog.X.s     62 | External    | 00 |         |    0 | 00/0000               | L15146C     EXT                  
   85 |  3 InfoDialog.X.s     63 | External    | 00 |         |    0 | 00/0000               | L150290     EXT                  
   86 |  3 InfoDialog.X.s     64 | External    | 00 |         |    0 | 00/0000               | L150241     EXT                  
   87 |  3 InfoDialog.X.s     65 | External    | 00 |         |    0 | 00/0000               | L1510BF     EXT                  
   88 |  3 InfoDialog.X.s     66 | External    | 00 |         |    0 | 00/0000               | L151466     EXT                  
   89 |  3 InfoDialog.X.s     67 | External    | 00 |         |    0 | 00/0000               | L150B70     EXT                  
   90 |  3 InfoDialog.X.s     68 | External    | 00 |         |    0 | 00/0000               | L15041C     EXT                  
   91 |  3 InfoDialog.X.s     69 | External    | 00 |         |    0 | 00/0000               | L15027E     EXT                  
   92 |  3 InfoDialog.X.s     70 | External    | 00 |         |    0 | 00/0000               | L151313     EXT                  
   93 |  3 InfoDialog.X.s     71 | External    | 00 |         |    0 | 00/0000               | L1513F4     EXT                  
   94 |  3 InfoDialog.X.s     72 | External    | 00 |         |    0 | 00/0000               | L150B10     EXT                  
   95 |  3 InfoDialog.X.s     73 | External    | 00 |         |    0 | 00/0000               | L150D44     EXT                  
   96 |  3 InfoDialog.X.s     74 | External    | 00 |         |    0 | 00/0000               | L150BB8     EXT                  
   97 |  3 InfoDialog.X.s     75 | External    | 00 |         |    0 | 00/0000               | L0540A1     EXT                  
   98 |  3 InfoDialog.X.s     76 | External    | 00 |         |    0 | 00/0000               | L1506B3     EXT                  
   99 |  3 InfoDialog.X.s     77 | External    | 00 |         |    0 | 00/0000               | L1517CD     EXT                  
  100 |  3 InfoDialog.X.s     78 | External    | 00 |         |    0 | 00/0000               | L1506AD     EXT                  
  101 |  3 InfoDialog.X.s     79 | External    | 00 |         |    0 | 00/0000               | L0540AB     EXT                  
  102 |  3 InfoDialog.X.s     80 | External    | 00 |         |    0 | 00/0000               | L0540A9     EXT                  
  103 |  3 InfoDialog.X.s     81 | External    | 00 |         |    0 | 00/0000               | L150482     EXT                  
  104 |  3 InfoDialog.X.s     82 | External    | 00 |         |    0 | 00/0000               | L150BE8     EXT                  
  105 |  3 InfoDialog.X.s     83 | External    | 00 |         |    0 | 00/0000               | L1512CB     EXT                  
  106 |  3 InfoDialog.X.s     84 | External    | 00 |         |    0 | 00/0000               | L15130D     EXT                  
  107 |  3 InfoDialog.X.s     85 | External    | 00 |         |    0 | 00/0000               | L151412     EXT                  
  108 |  3 InfoDialog.X.s     86 | External    | 00 |         |    0 | 00/0000               | L151035     EXT                  
  109 |  3 InfoDialog.X.s     87 | External    | 00 |         |    0 | 00/0000               | L150B04     EXT                  
  110 |  3 InfoDialog.X.s     88 | External    | 00 |         |    0 | 00/0000               | L053AD7     EXT                  
  111 |  3 InfoDialog.X.s     89 | External    | 00 |         |    0 | 00/0000               | L053AD5     EXT                  
  112 |  3 InfoDialog.X.s     90 | External    | 00 |         |    0 | 00/0000               | L151137     EXT                  
  113 |  3 InfoDialog.X.s     91 | External    | 00 |         |    0 | 00/0000               | L053A9D     EXT                  
  114 |  3 InfoDialog.X.s     92 | External    | 00 |         |    0 | 00/0000               | L053AB3     EXT                  
  115 |  3 InfoDialog.X.s     93 | External    | 00 |         |    0 | 00/0000               | L053AB1     EXT                  
  116 |  3 InfoDialog.X.s     94 | External    | 00 |         |    0 | 00/0000               | L150B64     EXT                  
  117 |  3 InfoDialog.X.s     95 | External    | 00 |         |    0 | 00/0000               | L053AE9     EXT                  
  118 |  3 InfoDialog.X.s     96 | External    | 00 |         |    0 | 00/0000               | L053AAB     EXT                  
  119 |  3 InfoDialog.X.s     97 | External    | 00 |         |    0 | 00/0000               | L053AA9     EXT                  
  120 |  3 InfoDialog.X.s     98 | External    | 00 |         |    0 | 00/0000               | L053AC3     EXT                  
  121 |  3 InfoDialog.X.s     99 | External    | 00 |         |    0 | 00/0000               | L053AC1     EXT                  
  122 |  3 InfoDialog.X.s    100 | External    | 00 |         |    0 | 00/0000               | L053ACB     EXT                  
  123 |  3 InfoDialog.X.s    101 | External    | 00 |         |    0 | 00/0000               | L053AC9     EXT                  
  124 |  3 InfoDialog.X.s    102 | External    | 00 |         |    0 | 00/0000               | L1510EF     EXT                  
  125 |  3 InfoDialog.X.s    103 | External    | 00 |         |    0 | 00/0000               | L041CB3     EXT                  
  126 |  3 InfoDialog.X.s    104 | External    | 00 |         |    0 | 00/0000               | L055045     EXT                  
  127 |  3 InfoDialog.X.s    105 | External    | 00 |         |    0 | 00/0000               | L055043     EXT                  
  128 |  3 InfoDialog.X.s    106 | External    | 00 |         |    0 | 00/0000               | L055027     EXT                  
  129 |  3 InfoDialog.X.s    107 | External    | 00 |         |    0 | 00/0000               | L055029     EXT                  
  130 |  3 InfoDialog.X.s    108 | External    | 00 |         |    0 | 00/0000               | L05501F     EXT                  
  131 |  3 InfoDialog.X.s    109 | External    | 00 |         |    0 | 00/0000               | L055021     EXT                  
  132 |  3 InfoDialog.X.s    110 | External    | 00 |         |    0 | 00/0000               | L055417     EXT                  
  133 |  3 InfoDialog.X.s    111 | External    | 00 |         |    0 | 00/0000               | L054FB3     EXT                  
  134 |  3 InfoDialog.X.s    112 | External    | 00 |         |    0 | 00/0000               | L054FA1     EXT                  
  135 |  3 InfoDialog.X.s    113 | External    | 00 |         |    0 | 00/0000               | L055051     EXT                  
  136 |  3 InfoDialog.X.s    114 | External    | 00 |         |    0 | 00/0000               | L05504D     EXT                  
  137 |  3 InfoDialog.X.s    115 | External    | 00 |         |    0 | 00/0000               | L05503F     EXT                  
  138 |  3 InfoDialog.X.s    116 | External    | 00 |         |    0 | 00/0000               | L055041     EXT                  
  139 |  3 InfoDialog.X.s    117 | External    | 00 |         |    0 | 00/0000               | L05503D     EXT                  
  140 |  3 InfoDialog.X.s    118 | External    | 00 |         |    0 | 00/0000               | L05504F     EXT                  
  141 |  3 InfoDialog.X.s    119 | External    | 00 |         |    0 | 00/0000               | L055049     EXT                  
  142 |  3 InfoDialog.X.s    120 | External    | 00 |         |    0 | 00/0000               | L05504B     EXT                  
  143 |  3 InfoDialog.X.s    121 | External    | 00 |         |    0 | 00/0000               | L081A92     EXT                  
  144 |  3 InfoDialog.X.s    122 | External    | 00 |         |    0 | 00/0000               | L081DD8     EXT                  
  145 |  3 InfoDialog.X.s    123 | External    | 00 |         |    0 | 00/0000               | L08510A     EXT                  
