Segment Name;Segment Line;File Name;File Line;Address;Name;Type;Data Type;Size;MX;Reloc
Segment1;145;game.s;145;00/4000;main;Code;;3;11;
Segment1;146;game.s;146;00/4003;main_init;Code;;3;11;
Segment1;148;game.s;148;00/4006;main_loop;Code;;2;11;
Segment1;176;game.s;176;00/402F;platform_init;Code;;3;11;
Segment1;198;game.s;198;00/4060;pi_notiigs;Code;;2;11;
Segment1;216;game.s;216;00/4081;pi_oklower;Code;;2;11;
Segment1;231;game.s;231;00/4092;proGETPFX;Data;dfb;1;11;
Segment1;234;game.s;234;00/4095;oldMONOCOLOR;Data;ds;2;11;
Segment1;235;game.s;235;00/4097;oldNEWVIDEO;Data;ds;2;11;
Segment1;239;game.s;239;00/4099;platform_beep;Code;;3;11;
Segment1;243;game.s;243;00/409C;platform_image;Code;;3;11;
Segment1;247;game.s;247;00/40A2;pi_ok;Code;;3;11;
Segment1;257;game.s;257;00/40AF;ozunid_1;Code;;2;11;
Segment1;261;game.s;261;00/40B5;pi_nopic;Code;;3;11;
Segment1;264;game.s;264;00/40BB;pi_gotone;Code;;3;11;
Segment1;273;game.s;273;00/40C5;pi_gotit;Code;;3;11;
Segment1;288;game.s;288;00/40DA;pi_load;Code;;3;11;
Segment1;294;game.s;294;00/40E3;pi_read;Code;;3;11;
Segment1;316;game.s;316;00/410C;pi_err;Code;;1;11;
Segment1;326;game.s;326;00/4117;pi_unpack;Code;;3;11;
Segment1;330;game.s;330;00/411A;pi_display;Code;;2;11;
Segment1;341;game.s;341;00/412D;pi_outer;Code;;2;11;
Segment1;352;game.s;352;00/413F;ozunid_2;Code;;2;11;
Segment1;391;game.s;391;00/4179;oldLOCATION;Data;hex;2;11;
Segment1;393;game.s;393;00/417B;pIMAGE;Data;str;13;11;
Segment1;395;game.s;395;00/4188;iOPEN;Data;dfb;1;11;
Segment1;400;game.s;400;00/418E;iREAD;Data;dfb;1;11;
Segment1;406;game.s;406;00/4196;iCLOSE;Data;dfb;1;11;
Segment1;409;game.s;409;00/4198;iGETEOF;Data;dfb;1;11;
Segment1;420;game.s;420;00/419D;platform_pause;Code;;2;11;
Segment1;426;game.s;426;00/41AA;pp_exit;Code;;3;11;
Segment1;431;game.s;431;00/41AE;platform_rndgen;Code;;2;11;
Segment1;437;game.s;437;00/41B9;pr_100;Code;;2;11;
Segment1;441;game.s;441;00/41C0;pr_ok;Code;;1;11;
Segment1;445;game.s;445;00/41C1;platform_exit;Code;;1;11;
Segment1;455;game.s;455;00/41D3;pe_end;Code;;3;11;
Segment1;463;game.s;463;00/41DB;proQUIT;Data;dfb;1;11;
Segment1;475;game.s;475;00/41E2;engine_init;Code;;2;11;
Segment1;486;game.s;486;00/41F1;ei_objects;Code;;2;11;
Segment1;492;game.s;492;00/41FD;ozunid_3;Code;;1;11;
Segment1;507;game.s;507;00/4211;ei_flags;Code;;2;11;
Segment1;515;game.s;515;00/421C;ozunid_4;Code;;3;11;
Segment1;529;game.s;529;00/4230;ozunid_5;Code;;2;11;
Segment1;537;game.s;537;00/423D;ei_next;Code;;1;11;
Segment1;550;game.s;550;00/4252;ei_time;Code;;1;11;
Segment1;567;game.s;567;00/4267;_engine_exec;Code;;1;11;
Segment1;577;game.s;577;00/4272;ee_outer;Code;;2;11;
Segment1;588;game.s;588;00/4288;ee_exit;Code;;2;11;
Segment1;594;game.s;594;00/428C;ee_extract;Code;;2;11;
Segment1;613;game.s;613;00/42AA;ee_action;Code;;3;11;
Segment1;618;game.s;618;00/42B6;ee_parms;Code;;2;11;
Segment1;632;game.s;632;00/42C9;ee_parms1;Code;;2;11;
Segment1;643;game.s;643;00/42D9;ee_parms2;Code;;2;11;
Segment1;658;game.s;658;00/42EC;ee_next;Code;;2;11;
Segment1;670;game.s;670;00/42FA;ee_skip;Code;;2;11;
Segment1;676;game.s;676;00/4304;ee_loop;Code;;3;11;
Segment1;678;game.s;678;00/4307;ee_call;Code;;3;11;
Segment1;683;game.s;683;00/430B;_turn;Code;;2;11;
Segment1;719;game.s;701;00/4346;turn_turns;Code;;2;11;
Segment1;732;game.s;714;00/435C;helloTOINET;Code;;2;11;
Segment1;741;game.s;723;00/436B;ozunid_6;Code;;2;11;
Segment1;747;game.s;729;00/4376;ht_print;Code;;3;11;
Segment1;751;game.s;733;00/437F;ht_lower;Code;;1;11;
Segment1;755;game.s;737;00/4385;ht_end;Code;;2;11;
Segment1;764;game.s;746;00/4390;engine_loop;Code;;3;11;
Segment1;769;game.s;751;00/4396;el_outer;Code;;2;11;
Segment1;777;game.s;759;00/43A3;ozunid_7;Code;;3;11;
Segment1;801;game.s;783;00/43CC;el_next_rule;Code;;2;11;
Segment1;812;game.s;794;00/43DB;el_continue;Code;;3;11;
Segment1;822;game.s;804;00/43EA;ozunid_8;Code;;3;11;
Segment1;845;game.s;824;00/440D;el_parse;Code;;3;11;
Segment1;864;game.s;843;00/442B;ozunid_9;Code;;3;11;
Segment1;897;game.s;876;00/4462;el_next_rule2;Code;;2;11;
Segment1;908;game.s;887;00/4471;el_processed;Code;;2;11;
Segment1;920;game.s;896;00/4488;el_hein;Code;;2;11;
Segment1;927;game.s;900;00/4490;el_notp;Code;;3;11;
Segment1;934;game.s;907;00/449D;the_end;Code;;1;11;
Segment1;938;game.s;911;00/449E;fgQUIT;Data;ds;2;11;
Segment1;939;game.s;912;00/44A0;fgDONE;Data;ds;2;11;
Segment1;940;game.s;913;00/44A2;fgRESTART;Data;ds;2;11;
Segment1;942;game.s;915;00/44A4;DATA_BEGIN;Data;asc;4;11;
Segment1;943;game.s;916;00/44A4;lsHEADER;Data;asc;4;11;
Segment1;944;game.s;917;00/44A8;location;Data;ds;2;11;
Segment1;945;game.s;918;00/44AA;objects;Data;ds;78;11;
Segment1;946;game.s;919;00/44F8;flags;Data;ds;34;11;
Segment1;948;game.s;921;00/451A;DATA_END;Code;;2;11;
Segment1;956;game.s;929;00/451A;GETLINE;Code;;2;11;
Segment1;957;game.s;930;00/451C;GETSOLUCE;Code;;3;11;
Segment1;965;game.s;938;00/452B;nottheend;Code;;2;11;
Segment1;972;game.s;945;00/4537;nottheend2;Code;;2;11;
Segment1;976;game.s;949;00/453F;notreturn;Code;;2;11;
Segment1;989;game.s;962;00/4552;DEBUG;Code;;3;11;
Segment1;993;game.s;966;00/4558;DEBUG_ON;Code;;2;11;
Segment1;1026;game.s;987;00/4590;dLOCATION;Data;asc;6;11;
Segment1;1027;game.s;988;00/4596;dWORD1;Data;asc;5;11;
Segment1;1028;game.s;989;00/459B;dWORD2;Data;asc;5;11;
Segment1;1029;game.s;990;00/45A0;dPROCESSED;Data;asc;4;11;
Segment1;1037;game.s;998;00/45A4;find_word;Code;;2;11;
Segment1;1043;game.s;1004;00/45AE;fw_outer;Code;;2;11;
Segment1;1050;game.s;1011;00/45BA;ozunid_10;Code;;2;11;
Segment1;1064;game.s;1025;00/45D1;fw_next;Code;;2;11;
Segment1;1075;game.s;1036;00/45E4;fw_notfound;Code;;2;11;
Segment1;1081;game.s;1042;00/45E9;parse;Code;;2;11;
Segment1;1090;game.s;1051;00/45F6;ozunid_11;Code;;3;11;
Segment1;1100;game.s;1061;00/4606;p_foundit;Code;;2;11;
Segment1;1101;game.s;1062;00/4608;ozunid_12;Code;;3;11;
Segment1;1114;game.s;1075;00/4623;p_foundend;Code;;1;11;
Segment1;1126;game.s;1087;00/4631;parse_next;Code;;3;11;
Segment1;1133;game.s;1094;00/4639;ozunid_13;Code;;3;11;
Segment1;1141;game.s;1102;00/4648;parse_next_ok;Code;;3;11;
Segment1;1142;game.s;1103;00/4648;ozunid_14;Code;;3;11;
Segment1;1152;game.s;1113;00/4658;p_foundit2;Code;;2;11;
Segment1;1153;game.s;1114;00/465A;ozunid_15;Code;;3;11;
Segment1;1166;game.s;1127;00/4675;p_foundend2;Code;;1;11;
Segment1;1179;game.s;1140;00/4683;parse_end;Code;;3;11;
Segment1;1183;game.s;1144;00/468A;clear_mot;Code;;2;11;
Segment1;1193;game.s;1154;00/469C;mot;Data;ds;5;11;
Segment1;1194;game.s;1155;00/46A1;windex;Data;ds;2;11;
Segment1;1206;game.s;1167;00/46A3;dflag;Code;;1;11;
Segment1;1210;game.s;1171;00/46AC;dflag_exit;Code;;1;11;
Segment1;1214;game.s;1175;00/46AD;bool_yesno;Code;;2;11;
Segment1;1244;game.s;1190;00/46E2;byn_no;Code;;1;11;
Segment1;1251;game.s;1197;00/46E4;itoa;Code;;2;11;
Segment1;1260;game.s;1206;00/46F1;itoa_100;Code;;2;11;
Segment1;1266;game.s;1212;00/46FA;itoa_end;Code;;1;11;
Segment1;1273;game.s;1219;00/4700;binbcd16;Code;;3;11;
Segment1;1283;game.s;1229;00/4714;ozunid_16;Code;;3;11;
Segment1;1303;game.s;1249;00/473A;valBIN;Data;ds;2;11;
Segment1;1304;game.s;1250;00/473C;valBCD;Data;ds;3;11;
Segment1;1312;game.s;1258;00/473F;null;Code;;2;11;
Segment1;1318;game.s;1264;00/4743;at;Code;;3;11;
Segment1;1325;game.s;1271;00/474E;at_success;Code;;2;11;
Segment1;1331;game.s;1277;00/4752;not_at;Code;;3;11;
Segment1;1338;game.s;1284;00/475D;na_success;Code;;2;11;
Segment1;1344;game.s;1290;00/4761;at_lower_than;Code;;3;11;
Segment1;1351;game.s;1297;00/476C;alt_success;Code;;2;11;
Segment1;1357;game.s;1303;00/4770;carried;Code;;2;11;
Segment1;1365;game.s;1311;00/477D;c_success;Code;;2;11;
Segment1;1371;game.s;1317;00/4781;not_carried;Code;;2;11;
Segment1;1379;game.s;1325;00/478E;nc_success;Code;;2;11;
Segment1;1385;game.s;1331;00/4792;worn;Code;;2;11;
Segment1;1393;game.s;1339;00/479F;w_success;Code;;2;11;
Segment1;1400;game.s;1346;00/47A4;not_worn;Code;;2;11;
Segment1;1408;game.s;1354;00/47B1;nw_success;Code;;2;11;
Segment1;1414;game.s;1360;00/47B5;present;Code;;2;11;
Segment1;1426;game.s;1372;00/47CB;p_success;Code;;2;11;
Segment1;1432;game.s;1378;00/47CF;absent;Code;;3;11;
Segment1;1438;game.s;1384;00/47D8;a_success;Code;;2;11;
Segment1;1444;game.s;1390;00/47DC;lower_than;Code;;2;11;
Segment1;1452;game.s;1398;00/47E9;lt_success;Code;;2;11;
Segment1;1458;game.s;1404;00/47ED;greater_than;Code;;2;11;
Segment1;1466;game.s;1412;00/47FA;gt_success;Code;;2;11;
Segment1;1472;game.s;1418;00/47FE;equal;Code;;2;11;
Segment1;1480;game.s;1426;00/480B;e_success;Code;;2;11;
Segment1;1486;game.s;1432;00/480F;zero;Code;;2;11;
Segment1;1493;game.s;1439;00/481A;z_success;Code;;2;11;
Segment1;1499;game.s;1445;00/481E;not_zero;Code;;2;11;
Segment1;1506;game.s;1452;00/4829;nz_success;Code;;2;11;
Segment1;1512;game.s;1458;00/482D;chance;Code;;3;11;
Segment1;1520;game.s;1466;00/483A;rnd_success;Code;;2;11;
Segment1;1529;game.s;1475;00/483E;go;Code;;2;11;
Segment1;1538;game.s;1484;00/4847;desc;Code;;2;11;
Segment1;1548;game.s;1491;00/4856;desc_not_home;Code;;3;11;
Segment1;1577;game.s;1511;00/4886;desc_darkwith;Code;;3;11;
Segment1;1584;game.s;1518;00/4892;desc_notdark;Code;;2;11;
Segment1;1595;game.s;1529;00/48A6;desc_location;Code;;3;11;
Segment1;1608;game.s;1542;00/48BA;desc_showall;Code;;2;11;
Segment1;1618;game.s;1552;00/48C6;desc_fori;Code;;2;11;
Segment1;1623;game.s;1557;00/48D1;desc_oki;Code;;2;11;
Segment1;1652;game.s;1586;00/48FC;desc_forj;Code;;2;11;
