Segment Name;Segment Line;File Name;File Line;Address;Name;Type;Data Type;Size;MX;Reloc
Segment1;142;game.s;142;00/4000;main;Code;;3;11;
Segment1;143;game.s;143;00/4003;main_init;Code;;3;11;
Segment1;145;game.s;145;00/4006;main_loop;Code;;2;11;
Segment1;173;game.s;173;00/402F;platform_init;Code;;3;11;
Segment1;195;game.s;195;00/4060;pi_notiigs;Code;;2;11;
Segment1;212;game.s;212;00/407E;pi_oklower;Code;;2;11;
Segment1;227;game.s;227;00/408F;proGETPFX;Data;dfb;1;11;
Segment1;230;game.s;230;00/4092;oldMONOCOLOR;Data;ds;2;11;
Segment1;231;game.s;231;00/4094;oldNEWVIDEO;Data;ds;2;11;
Segment1;235;game.s;235;00/4096;platform_beep;Code;;3;11;
Segment1;239;game.s;239;00/4099;platform_image;Code;;3;11;
Segment1;243;game.s;243;00/409F;pi_ok;Code;;3;11;
Segment1;253;game.s;253;00/40AC;ozunid_1;Code;;2;11;
Segment1;257;game.s;257;00/40B2;pi_nopic;Code;;3;11;
Segment1;260;game.s;260;00/40B8;pi_gotone;Code;;3;11;
Segment1;269;game.s;269;00/40C2;pi_gotit;Code;;3;11;
Segment1;284;game.s;284;00/40D7;pi_load;Code;;3;11;
Segment1;290;game.s;290;00/40E0;pi_read;Code;;3;11;
Segment1;308;game.s;308;00/4104;pi_err;Code;;1;11;
Segment1;318;game.s;318;00/410F;pi_unpack;Code;;3;11;
Segment1;322;game.s;322;00/4112;pi_display;Code;;2;11;
Segment1;332;game.s;332;00/4122;pi_outer;Code;;2;11;
Segment1;343;game.s;343;00/4134;ozunid_2;Code;;2;11;
Segment1;382;game.s;382;00/416E;oldLOCATION;Data;hex;2;11;
Segment1;384;game.s;384;00/4170;pIMAGE;Data;str;18;11;
Segment1;386;game.s;386;00/4182;iOPEN;Data;dfb;1;11;
Segment1;391;game.s;391;00/4188;iREAD;Data;dfb;1;11;
Segment1;397;game.s;397;00/4190;iCLOSE;Data;dfb;1;11;
Segment1;400;game.s;400;00/4192;iGETEOF;Data;dfb;1;11;
Segment1;411;game.s;411;00/4197;platform_pause;Code;;2;11;
Segment1;417;game.s;417;00/41A4;pp_exit;Code;;3;11;
Segment1;422;game.s;422;00/41A8;platform_rndgen;Code;;2;11;
Segment1;428;game.s;428;00/41B3;pr_100;Code;;2;11;
Segment1;432;game.s;432;00/41BA;pr_ok;Code;;1;11;
Segment1;436;game.s;436;00/41BB;platform_exit;Code;;1;11;
Segment1;446;game.s;446;00/41CD;pe_end;Code;;3;11;
Segment1;454;game.s;454;00/41D5;proQUIT;Data;dfb;1;11;
Segment1;466;game.s;466;00/41DC;engine_init;Code;;2;11;
Segment1;477;game.s;477;00/41EB;ei_objects;Code;;2;11;
Segment1;483;game.s;483;00/41F7;ozunid_3;Code;;1;11;
Segment1;498;game.s;498;00/420B;ei_flags;Code;;2;11;
Segment1;506;game.s;506;00/4216;ozunid_4;Code;;3;11;
Segment1;520;game.s;520;00/422A;ozunid_5;Code;;2;11;
Segment1;528;game.s;528;00/4237;ei_next;Code;;1;11;
Segment1;541;game.s;541;00/424C;ei_time;Code;;1;11;
Segment1;558;game.s;558;00/4261;_engine_exec;Code;;1;11;
Segment1;568;game.s;568;00/426C;ee_outer;Code;;2;11;
Segment1;579;game.s;579;00/4282;ee_exit;Code;;2;11;
Segment1;585;game.s;585;00/4286;ee_extract;Code;;2;11;
Segment1;604;game.s;604;00/42A4;ee_action;Code;;3;11;
Segment1;609;game.s;609;00/42B0;ee_parms;Code;;2;11;
Segment1;623;game.s;623;00/42C3;ee_parms1;Code;;2;11;
Segment1;634;game.s;634;00/42D3;ee_parms2;Code;;2;11;
Segment1;649;game.s;649;00/42E6;ee_next;Code;;2;11;
Segment1;661;game.s;661;00/42F4;ee_skip;Code;;2;11;
Segment1;667;game.s;667;00/42FE;ee_loop;Code;;3;11;
Segment1;669;game.s;669;00/4301;ee_call;Code;;3;11;
Segment1;674;game.s;674;00/4305;_turn;Code;;2;11;
Segment1;710;game.s;692;00/4340;turn_turns;Code;;2;11;
Segment1;723;game.s;705;00/4356;helloTOINET;Code;;2;11;
Segment1;732;game.s;714;00/4365;ozunid_6;Code;;2;11;
Segment1;738;game.s;720;00/4370;ht_print;Code;;3;11;
Segment1;742;game.s;724;00/4379;ht_lower;Code;;1;11;
Segment1;746;game.s;728;00/437F;ht_end;Code;;2;11;
Segment1;755;game.s;737;00/438A;engine_loop;Code;;3;11;
Segment1;760;game.s;742;00/4390;el_outer;Code;;2;11;
Segment1;768;game.s;750;00/439D;ozunid_7;Code;;3;11;
Segment1;792;game.s;774;00/43C6;el_next_rule;Code;;2;11;
Segment1;803;game.s;785;00/43D5;el_continue;Code;;3;11;
Segment1;813;game.s;795;00/43E4;ozunid_8;Code;;3;11;
Segment1;836;game.s;815;00/4407;el_parse;Code;;3;11;
Segment1;855;game.s;834;00/4425;ozunid_9;Code;;3;11;
Segment1;888;game.s;867;00/445C;el_next_rule2;Code;;2;11;
Segment1;899;game.s;878;00/446B;el_processed;Code;;2;11;
Segment1;911;game.s;887;00/4482;el_hein;Code;;2;11;
Segment1;918;game.s;891;00/448A;el_notp;Code;;3;11;
Segment1;925;game.s;898;00/4497;the_end;Code;;1;11;
Segment1;929;game.s;902;00/4498;fgQUIT;Data;ds;2;11;
Segment1;930;game.s;903;00/449A;fgDONE;Data;ds;2;11;
Segment1;931;game.s;904;00/449C;fgRESTART;Data;ds;2;11;
Segment1;933;game.s;906;00/449E;DATA_BEGIN;Data;asc;4;11;
Segment1;934;game.s;907;00/449E;lsHEADER;Data;asc;4;11;
Segment1;935;game.s;908;00/44A2;location;Data;ds;2;11;
Segment1;936;game.s;909;00/44A4;objects;Data;ds;78;11;
Segment1;937;game.s;910;00/44F2;flags;Data;ds;34;11;
Segment1;939;game.s;912;00/4514;DATA_END;Code;;2;11;
Segment1;947;game.s;920;00/4514;GETLINE;Code;;2;11;
Segment1;948;game.s;921;00/4516;GETSOLUCE;Code;;3;11;
Segment1;956;game.s;929;00/4525;nottheend;Code;;2;11;
Segment1;963;game.s;936;00/4531;nottheend2;Code;;2;11;
Segment1;967;game.s;940;00/4539;notreturn;Code;;2;11;
Segment1;980;game.s;953;00/454C;DEBUG;Code;;3;11;
Segment1;984;game.s;957;00/4552;DEBUG_ON;Code;;2;11;
Segment1;1017;game.s;978;00/458A;dLOCATION;Data;asc;6;11;
Segment1;1018;game.s;979;00/4590;dWORD1;Data;asc;5;11;
Segment1;1019;game.s;980;00/4595;dWORD2;Data;asc;5;11;
Segment1;1020;game.s;981;00/459A;dPROCESSED;Data;asc;4;11;
Segment1;1028;game.s;989;00/459E;find_word;Code;;2;11;
Segment1;1034;game.s;995;00/45A8;fw_outer;Code;;2;11;
Segment1;1041;game.s;1002;00/45B4;ozunid_10;Code;;2;11;
Segment1;1055;game.s;1016;00/45CB;fw_next;Code;;2;11;
Segment1;1066;game.s;1027;00/45DE;fw_notfound;Code;;2;11;
Segment1;1072;game.s;1033;00/45E3;parse;Code;;2;11;
Segment1;1081;game.s;1042;00/45F0;ozunid_11;Code;;3;11;
Segment1;1091;game.s;1052;00/4600;p_foundit;Code;;2;11;
Segment1;1092;game.s;1053;00/4602;ozunid_12;Code;;3;11;
Segment1;1105;game.s;1066;00/461D;p_foundend;Code;;1;11;
Segment1;1117;game.s;1078;00/462B;parse_next;Code;;3;11;
Segment1;1124;game.s;1085;00/4633;ozunid_13;Code;;3;11;
Segment1;1132;game.s;1093;00/4642;parse_next_ok;Code;;3;11;
Segment1;1133;game.s;1094;00/4642;ozunid_14;Code;;3;11;
Segment1;1143;game.s;1104;00/4652;p_foundit2;Code;;2;11;
Segment1;1144;game.s;1105;00/4654;ozunid_15;Code;;3;11;
