------+---------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
 Line | # File         Line | Line Type   | MX |  Reloc  | Size | Address   Object Code |  Source Code                                                      
------+---------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
    1 |  1 convert.s      1 | Comment     | 11 |         |    0 | 00/0000               | *
    2 |  1 convert.s      2 | Comment     | 11 |         |    0 | 00/0000               | * La belle Zohra
    3 |  1 convert.s      3 | Comment     | 11 |         |    0 | 00/0000               | *
    4 |  1 convert.s      4 | Comment     | 11 |         |    0 | 00/0000               | * (c) 1992, François Coulon
    5 |  1 convert.s      5 | Comment     | 11 |         |    0 | 00/0000               | * (c) 2023, Antoine Vignau & Olivier Zardini
    6 |  1 convert.s      6 | Comment     | 11 |         |    0 | 00/0000               | *
    7 |  1 convert.s      7 | Empty       | 11 |         |    0 | 00/0000               |                                      
    8 |  1 convert.s      8 | Directive   | 00 |         |    0 | 00/0000               |             mx        %00            
    9 |  1 convert.s      9 | Directive   | 00 |         |    0 | 00/0000               |             rel                      
   10 |  1 convert.s     10 | Directive   | 00 |         |    0 | 00/0000               |             dsk       convert.l      
   11 |  1 convert.s     11 | Directive   | 00 |         |    0 | 00/0000               |             typ       $B3            
   12 |  1 convert.s     12 | Empty       | 00 |         |    0 | 00/0000               |                                      
   13 |  1 convert.s     13 | Comment     | 00 |         |    0 | 00/0000               | *----------------------------------- Macros
   14 |  1 convert.s     14 | Empty       | 00 |         |    0 | 00/0000               |                                      
   15 |  1 convert.s     15 | Directive   | 00 |         |    0 | 00/0000               |             use       4/Locator.Macs 
   16 |  1 convert.s     16 | Directive   | 00 |         |    0 | 00/0000               |             use       4/Mem.Macs     
   17 |  1 convert.s     17 | Directive   | 00 |         |    0 | 00/0000               |             use       4/Misc.Macs    
   18 |  1 convert.s     18 | Directive   | 00 |         |    0 | 00/0000               |             use       4/Util.Macs    
   19 |  1 convert.s     19 | Empty       | 00 |         |    0 | 00/0000               |                                      
   20 |  1 convert.s     20 | Comment     | 00 |         |    0 | 00/0000               | *----------------------------------- Constantes
   21 |  1 convert.s     21 | Empty       | 00 |         |    0 | 00/0000               |                                      
   22 |  1 convert.s     22 | Equivalence | 00 |         |    0 | 00/0000               | GSOS        =         $e100a8        
   23 |  1 convert.s     23 | Equivalence | 00 |         |    0 | 00/0000               | dpFROM      =         $80            
   24 |  1 convert.s     24 | Empty       | 00 |         |    0 | 00/0000               |                                      
   25 |  1 convert.s     25 | Comment     | 00 |         |    0 | 00/0000               | *----------------------------------- Entry point
   26 |  1 convert.s     26 | Empty       | 00 |         |    0 | 00/0000               |                                      
   27 |  1 convert.s     27 | Code        | 00 |         |    1 | 00/0000 : 4B          |             phk                      
   28 |  1 convert.s     28 | Code        | 00 |         |    1 | 00/0001 : AB          |             plb                      
