------+----------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
 Line | # File          Line | Line Type   | MX |  Reloc  | Size | Address   Object Code |  Source Code                                                      
------+----------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
    1 |  1 PROGRAMA.S      1 | Comment     | 11 |         |    0 | 00/0000               | *
    2 |  1 PROGRAMA.S      2 | Comment     | 11 |         |    0 | 00/0000               | * Math Story Problems
    3 |  1 PROGRAMA.S      3 | Comment     | 11 |         |    0 | 00/0000               | *
    4 |  1 PROGRAMA.S      4 | Comment     | 11 |         |    0 | 00/0000               | * (c) 1987, Orange Cherry Software
    5 |  1 PROGRAMA.S      5 | Comment     | 11 |         |    0 | 00/0000               | * (s) 2025, Antoine Vignau
    6 |  1 PROGRAMA.S      6 | Comment     | 11 |         |    0 | 00/0000               | *
    7 |  1 PROGRAMA.S      7 | Empty       | 11 |         |    0 | 00/0000               |                                  
    8 |  1 PROGRAMA.S      8 | Directive   | 00 |         |    0 | 00/0000               |             mx    %00            
    9 |  1 PROGRAMA.S      9 | Directive   | 00 |         |    0 | 00/0000               |             lst   off            
   10 |  1 PROGRAMA.S     10 | Empty       | 00 |         |    0 | 00/0000               |                                  
   11 |  1 PROGRAMA.S     11 | Comment     | 00 |         |    0 | 00/0000               | *-------------------------------
   12 |  1 PROGRAMA.S     12 | Empty       | 00 |         |    0 | 00/0000               |                                  
   13 |  1 PROGRAMA.S     13 | Equivalence | 00 |         |    0 | 00/0000               | GSOS        =     $E100A8        
   14 |  1 PROGRAMA.S     14 | Equivalence | 00 |         |    0 | 00/0000               | VF          =     1              
   15 |  1 PROGRAMA.S     15 | Empty       | 00 |         |    0 | 00/0000               |                                  
   16 |  1 PROGRAMA.S     16 | Directive   | 00 |         |    0 | 00/0000               |             use   4/Event.Macs   
   17 |  1 PROGRAMA.S     17 | Directive   | 00 |         |    0 | 00/0000               |             use   4/Int.Macs     
   18 |  1 PROGRAMA.S     18 | Directive   | 00 |         |    0 | 00/0000               |             use   4/Locator.Macs 
   19 |  1 PROGRAMA.S     19 | Directive   | 00 |         |    0 | 00/0000               |             use   4/Mem.Macs     
   20 |  1 PROGRAMA.S     20 | Directive   | 00 |         |    0 | 00/0000               |             use   4/Misc.Macs    
   21 |  1 PROGRAMA.S     21 | Directive   | 00 |         |    0 | 00/0000               |             use   4/Qd.Macs      
   22 |  1 PROGRAMA.S     22 | Directive   | 00 |         |    0 | 00/0000               |             use   4/Sound.Macs   
   23 |  1 PROGRAMA.S     23 | Directive   | 00 |         |    0 | 00/0000               |             use   4/Util.Macs    
   24 |  1 PROGRAMA.S     24 | Empty       | 00 |         |    0 | 00/0000               |                                  
   25 |  1 PROGRAMA.S     25 | Comment     | 00 |         |    0 | 00/0000               | *-------------------------------
   26 |  1 PROGRAMA.S     26 | Empty       | 00 |         |    0 | 00/0000               |                                  
   27 |  1 PROGRAMA.S     27 | Comment     | 00 |         |    0 | 00/0000               | * Apple		Atari
   28 |  1 PROGRAMA.S     28 | Comment     | 00 |         |    0 | 00/0000               | * 22	"	7E
   29 |  1 PROGRAMA.S     29 | Comment     | 00 |         |    0 | 00/0000               | * 82	‚	80
   30 |  1 PROGRAMA.S     30 | Comment     | 00 |         |    0 | 00/0000               | * 88	ˆ	85
   31 |  1 PROGRAMA.S     31 | Comment     | 00 |         |    0 | 00/0000               | * 89	‰	83
   32 |  1 PROGRAMA.S     32 | Comment     | 00 |         |    0 | 00/0000               | * 8D		87
   33 |  1 PROGRAMA.S     33 | Comment     | 00 |         |    0 | 00/0000               | * 8E	Ž	82
   34 |  1 PROGRAMA.S     34 | Comment     | 00 |         |    0 | 00/0000               | * 8F		8A
   35 |  1 PROGRAMA.S     35 | Comment     | 00 |         |    0 | 00/0000               | * 90		88
   36 |  1 PROGRAMA.S     36 | Comment     | 00 |         |    0 | 00/0000               | * 91	‘	
   37 |  1 PROGRAMA.S     37 | Comment     | 00 |         |    0 | 00/0000               | * 94	”	8C
   38 |  1 PROGRAMA.S     38 | Comment     | 00 |         |    0 | 00/0000               | * 95	•	8B
   39 |  1 PROGRAMA.S     39 | Comment     | 00 |         |    0 | 00/0000               | * 99	™	93
   40 |  1 PROGRAMA.S     40 | Comment     | 00 |         |    0 | 00/0000               | * 9E	ž	96
   41 |  1 PROGRAMA.S     41 | Comment     | 00 |         |    0 | 00/0000               | * 9D		97
   42 |  1 PROGRAMA.S     42 | Comment     | 00 |         |    0 | 00/0000               | * CE	OE	B4
   43 |  1 PROGRAMA.S     43 | Comment     | 00 |         |    0 | 00/0000               | * CF	oe	B5
   44 |  1 PROGRAMA.S     44 | Empty       | 00 |         |    0 | 00/0000               |                                  
   45 |  1 PROGRAMA.S     45 | Comment     | 00 |         |    0 | 00/0000               | *-------------------------------
   46 |  1 PROGRAMA.S     46 | Empty       | 00 |         |    0 | 00/0000               |                                  
   47 |  1 PROGRAMA.S     47 | Code        | 00 |         |    1 | 00/0000 : 18          |             CLC                  
   48 |  1 PROGRAMA.S     48 | Code        | 00 |         |    1 | 00/0001 : FB          |             XCE                  
   49 |  1 PROGRAMA.S     49 | Code        | 00 |         |    2 | 00/0002 : C2 30       |             REP   #$30           
   50 |  1 PROGRAMA.S     50 | Code        | 00 |         |    1 | 00/0004 : 4B          |             PHK                  
   51 |  1 PROGRAMA.S     51 | Code        | 00 |         |    1 | 00/0005 : AB          |             PLB                  
   52 |  1 PROGRAMA.S     52 | Macro       | 00 |         |    0 | 00/0006               |             _TLStartUp                 
   54 |  1 PROGRAMA.S     52 | Code        | 00 |         |    3 | 00/0006 : A2 01 02    |             LDX   #$201          ; load tool call #
   55 |  1 PROGRAMA.S     52 | Code        | 00 |         |    4 | 00/0009 : 22 00 00 E1 |             JSL   $E10000        ; go to dispatcher
   56 |  1 PROGRAMA.S     53 | Code        | 00 |         |    3 | 00/000D : F4 00 00    |             PEA   $0000          
   57 |  1 PROGRAMA.S     54 | Macro       | 00 |         |    0 | 00/0010               |             _MMStartUp                 
   59 |  1 PROGRAMA.S     54 | Code        | 00 |         |    3 | 00/0010 : A2 02 02    |             LDX   #$202          ; load tool call #
   60 |  1 PROGRAMA.S     54 | Code        | 00 |         |    4 | 00/0013 : 22 00 00 E1 |             JSL   $E10000        ; go to dispatcher
   61 |  1 PROGRAMA.S     55 | Code        | 00 |         |    1 | 00/0017 : 68          |             PLA                  
   62 |  1 PROGRAMA.S     56 | Code        | 00 |  2      |    3 | 00/0018 : 8D 40 1A    |             STA   L1A0F          
   63 |  1 PROGRAMA.S     57 | Code        | 00 |  2      |    3 | 00/001B : 20 92 1F    |             JSR   L1F28          
   64 |  1 PROGRAMA.S     58 | Code        | 00 |  2      |    3 | 00/001E : AD 40 1A    |             LDA   L1A0F          
   65 |  1 PROGRAMA.S     59 | Code        | 00 |         |    3 | 00/0021 : 29 FF F0    |             AND   #$F0FF         
   66 |  1 PROGRAMA.S     60 | Code        | 00 |         |    3 | 00/0024 : 09 00 01    |             ORA   #$0100         
   67 |  1 PROGRAMA.S     61 | Code        | 00 |  2      |    3 | 00/0027 : 8D 42 1A    |             STA   L1A11          
   68 |  1 PROGRAMA.S     62 | Macro       | 00 |         |    0 | 00/002A               |             _MTStartUp                 
   70 |  1 PROGRAMA.S     62 | Code        | 00 |         |    3 | 00/002A : A2 03 02    |             LDX   #$203          ; load tool call #
   71 |  1 PROGRAMA.S     62 | Code        | 00 |         |    4 | 00/002D : 22 00 00 E1 |             JSL   $E10000        ; go to dispatcher
   72 |  1 PROGRAMA.S     63 | Code        | 00 |         |    3 | 00/0031 : F4 00 00    |             PEA   $0000          
   73 |  1 PROGRAMA.S     64 | Code        | 00 |         |    3 | 00/0034 : F4 00 00    |             PEA   $0000          
   74 |  1 PROGRAMA.S     65 | Code        | 00 |         |    3 | 00/0037 : F4 00 00    |             PEA   $0000          
   75 |  1 PROGRAMA.S     66 | Code        | 00 |         |    3 | 00/003A : F4 00 10    |             PEA   $1000          
   76 |  1 PROGRAMA.S     67 | Code        | 00 |  2      |    3 | 00/003D : AD 42 1A    |             LDA   L1A11          
   77 |  1 PROGRAMA.S     68 | Code        | 00 |         |    1 | 00/0040 : 48          |             PHA                  
   78 |  1 PROGRAMA.S     69 | Code        | 00 |         |    3 | 00/0041 : F4 05 C0    |             PEA   $C005          
   79 |  1 PROGRAMA.S     70 | Code        | 00 |         |    3 | 00/0044 : F4 00 00    |             PEA   $0000          
   80 |  1 PROGRAMA.S     71 | Code        | 00 |         |    3 | 00/0047 : F4 00 00    |             PEA   $0000          
   81 |  1 PROGRAMA.S     72 | Macro       | 00 |         |    0 | 00/004A               |             _NewHandle                 
   83 |  1 PROGRAMA.S     72 | Code        | 00 |         |    3 | 00/004A : A2 02 09    |             LDX   #$902          ; load tool call #
   84 |  1 PROGRAMA.S     72 | Code        | 00 |         |    4 | 00/004D : 22 00 00 E1 |             JSL   $E10000        ; go to dispatcher
   85 |  1 PROGRAMA.S     73 | Code        | 00 |  2      |    3 | 00/0051 : 20 92 1F    |             JSR   L1F28          
   86 |  1 PROGRAMA.S     74 | Code        | 00 |         |    1 | 00/0054 : 68          |             PLA                  
   87 |  1 PROGRAMA.S     75 | Code        | 00 |         |    2 | 00/0055 : 85 00       |             STA   $00            
   88 |  1 PROGRAMA.S     76 | Code        | 00 |         |    1 | 00/0057 : 68          |             PLA                  
   89 |  1 PROGRAMA.S     77 | Code        | 00 |         |    2 | 00/0058 : 85 02       |             STA   $02            
   90 |  1 PROGRAMA.S     78 | Code        | 00 |         |    2 | 00/005A : A7 00       |             LDA   [$00]          
   91 |  1 PROGRAMA.S     79 | Code        | 00 |  2      |    3 | 00/005C : 8D 44 1A    |             STA   L1A13          
   92 |  1 PROGRAMA.S     80 | Code        | 00 |  2      |    3 | 00/005F : AD 44 1A    |             LDA   L1A13          
   93 |  1 PROGRAMA.S     81 | Code        | 00 |         |    1 | 00/0062 : A8          |             TAY                  
   94 |  1 PROGRAMA.S     82 | Code        | 00 |         |    1 | 00/0063 : 18          |             CLC                  
