------+----------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
 Line | # File          Line | Line Type   | MX |  Reloc  | Size | Address   Object Code |  Source Code                                                      
------+----------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
    1 |  1 PROGRAMB.S      1 | Comment     | 11 |         |    0 | 00/0000               | *
    2 |  1 PROGRAMB.S      2 | Comment     | 11 |         |    0 | 00/0000               | * Math Story Problems
    3 |  1 PROGRAMB.S      3 | Comment     | 11 |         |    0 | 00/0000               | *
    4 |  1 PROGRAMB.S      4 | Comment     | 11 |         |    0 | 00/0000               | * (c) 1987, Orange Cherry Software
    5 |  1 PROGRAMB.S      5 | Comment     | 11 |         |    0 | 00/0000               | * (s) 2025, Antoine Vignau
    6 |  1 PROGRAMB.S      6 | Comment     | 11 |         |    0 | 00/0000               | *
    7 |  1 PROGRAMB.S      7 | Empty       | 11 |         |    0 | 00/0000               |                                  
    8 |  1 PROGRAMB.S      8 | Directive   | 00 |         |    0 | 00/0000               |             mx    %00            
    9 |  1 PROGRAMB.S      9 | Directive   | 00 |         |    0 | 00/0000               |             lst   off            
   10 |  1 PROGRAMB.S     10 | Empty       | 00 |         |    0 | 00/0000               |                                  
   11 |  1 PROGRAMB.S     11 | Comment     | 00 |         |    0 | 00/0000               | *-------------------------------
   12 |  1 PROGRAMB.S     12 | Empty       | 00 |         |    0 | 00/0000               |                                  
   13 |  1 PROGRAMB.S     13 | Equivalence | 00 |         |    0 | 00/0000               | GSOS        =     $E100A8        
   14 |  1 PROGRAMB.S     14 | Equivalence | 00 |         |    0 | 00/0000               | VF          =     1              
   15 |  1 PROGRAMB.S     15 | Empty       | 00 |         |    0 | 00/0000               |                                  
   16 |  1 PROGRAMB.S     16 | Directive   | 00 |         |    0 | 00/0000               |             use   4/Event.Macs   
   17 |  1 PROGRAMB.S     17 | Directive   | 00 |         |    0 | 00/0000               |             use   4/Int.Macs     
   18 |  1 PROGRAMB.S     18 | Directive   | 00 |         |    0 | 00/0000               |             use   4/Locator.Macs 
   19 |  1 PROGRAMB.S     19 | Directive   | 00 |         |    0 | 00/0000               |             use   4/Mem.Macs     
   20 |  1 PROGRAMB.S     20 | Directive   | 00 |         |    0 | 00/0000               |             use   4/Misc.Macs    
   21 |  1 PROGRAMB.S     21 | Directive   | 00 |         |    0 | 00/0000               |             use   4/Qd.Macs      
   22 |  1 PROGRAMB.S     22 | Directive   | 00 |         |    0 | 00/0000               |             use   4/Sound.Macs   
   23 |  1 PROGRAMB.S     23 | Directive   | 00 |         |    0 | 00/0000               |             use   4/Util.Macs    
   24 |  1 PROGRAMB.S     24 | Empty       | 00 |         |    0 | 00/0000               |                                  
   25 |  1 PROGRAMB.S     25 | Comment     | 00 |         |    0 | 00/0000               | *-------------------------------
   26 |  1 PROGRAMB.S     26 | Empty       | 00 |         |    0 | 00/0000               |                                  
   27 |  1 PROGRAMB.S     27 | Comment     | 00 |         |    0 | 00/0000               | * Apple		Atari
   28 |  1 PROGRAMB.S     28 | Comment     | 00 |         |    0 | 00/0000               | * 22	"	7E
   29 |  1 PROGRAMB.S     29 | Comment     | 00 |         |    0 | 00/0000               | * 82	‚	80
   30 |  1 PROGRAMB.S     30 | Comment     | 00 |         |    0 | 00/0000               | * 88	ˆ	85
   31 |  1 PROGRAMB.S     31 | Comment     | 00 |         |    0 | 00/0000               | * 89	‰	83
   32 |  1 PROGRAMB.S     32 | Comment     | 00 |         |    0 | 00/0000               | * 8D		87
   33 |  1 PROGRAMB.S     33 | Comment     | 00 |         |    0 | 00/0000               | * 8E	Ž	82
   34 |  1 PROGRAMB.S     34 | Comment     | 00 |         |    0 | 00/0000               | * 8F		8A
   35 |  1 PROGRAMB.S     35 | Comment     | 00 |         |    0 | 00/0000               | * 90		88
   36 |  1 PROGRAMB.S     36 | Comment     | 00 |         |    0 | 00/0000               | * 91	‘	
   37 |  1 PROGRAMB.S     37 | Comment     | 00 |         |    0 | 00/0000               | * 94	”	8C
   38 |  1 PROGRAMB.S     38 | Comment     | 00 |         |    0 | 00/0000               | * 95	•	8B
   39 |  1 PROGRAMB.S     39 | Comment     | 00 |         |    0 | 00/0000               | * 99	™	93
   40 |  1 PROGRAMB.S     40 | Comment     | 00 |         |    0 | 00/0000               | * 9E	ž	96
   41 |  1 PROGRAMB.S     41 | Comment     | 00 |         |    0 | 00/0000               | * 9D		97
   42 |  1 PROGRAMB.S     42 | Comment     | 00 |         |    0 | 00/0000               | * CE	OE	B4
   43 |  1 PROGRAMB.S     43 | Comment     | 00 |         |    0 | 00/0000               | * CF	oe	B5
   44 |  1 PROGRAMB.S     44 | Empty       | 00 |         |    0 | 00/0000               |                                  
   45 |  1 PROGRAMB.S     45 | Comment     | 00 |         |    0 | 00/0000               | *-------------------------------
   46 |  1 PROGRAMB.S     46 | Empty       | 00 |         |    0 | 00/0000               |                                  
   47 |  1 PROGRAMB.S     47 | Code        | 00 |         |    1 | 00/0000 : 18          |             CLC                  
   48 |  1 PROGRAMB.S     48 | Code        | 00 |         |    1 | 00/0001 : FB          |             XCE                  
   49 |  1 PROGRAMB.S     49 | Code        | 00 |         |    2 | 00/0002 : C2 30       |             REP   #$30           
