MA	
OBJET: 01  (SALLE 002)   UNE GOURDE
OBJET: 02  (SALLE 000)   UNE GOURDE PLEINE
OBJET: 03  (SALLE 000)   UNE HARPE
OBJET: 04  (SALLE 003)   UNE CLE EN RUBIS
OBJET: 05  (SALLE 024)   UNE CLE EN RUBIS
OBJET: 06  (SALLE 046)   UNE TORCHE
OBJET: 07  (SALLE 048)   UNE HACHE
OBJET: 08  (SALLE 045)   UN FLACON MAGIQUE
OBJET: 09  (SALLE 016)   UN BALAI
OBJET: 10  (SALLE 013)   UNE CLE EN OR
OBJET: 11  (SALLE 026)   UNE PELLE
OBJET: 12  (SALLE 068)   UN COFFRE
OBJET: 13  (SALLE 000)   UNE EPEE
OBJET: 14  (SALLE 078)   UNE TORCHE
OBJET: 15  (SALLE 080)   UNE CORDE
OBJET: 16  (SALLE 007)   UNE DEMI-ETOILE
OBJET: 17  (SALLE 000)   UNE DEMI-ETOILE
OBJET: 18  (SALLE 070)   DES CORDELETTES
OBJET: 19  (SALLE 073)   UNE MACHETTE
OBJET: 20  (SALLE 094)   UN SABOT MAGIQUE
OBJET: 21  (SALLE 099)   UN OEIL DE VERRE
OBJET: 22  (SALLE 090)   UNE BAGUE
OBJET: 23  (SALLE 000)   UNE LIANE
OBJET: 24  (SALLE 000)   UN PAPIER
OBJET: 25  (SALLE 000)   DES PIECES D'OR
OBJET: 26  (SALLE 109)   UNE OPALE
OBJET: 27  (SALLE 113)   UN AUTEL
OBJET: 28  (SALLE 000)   UN RADEAU
OBJET: 29  (SALLE 000)   LA GROSSE BRANCHE
OBJET: 30  (SALLE 000)   UNE BRANCHE
OBJET: 31  (SALLE 075)   UNE LOUPE GEANTE
