Segment Name;Segment Line;File Name;File Line;Address;Name;Type;Data Type;Size;MX;Reloc
;66;SEG01.S;41;00/0000;L010005;Code;;4;00;E 3
;76;SEG01.S;51;00/0011;;Code;;2;10;E 1 >>16
;103;SEG01.S;78;00/0019;;Code;;3;10;E 2
;108;SEG01.S;83;00/0026;;Code;;3;10;E 2
;117;SEG01.S;92;00/0039;;Code;;3;00;E 2
;140;SEG01.S;112;00/005A;L010085;Code;;3;00;
;144;SEG01.S;116;00/0062;;Code;;3;00;E 2
;145;SEG01.S;117;00/0065;;Code;;3;00;E 2
;166;SEG01.S;132;00/007D;;Code;;3;00;E 2
;174;SEG01.S;137;00/0087;;Code;;3;00;E 1 >>16
;175;SEG01.S;138;00/008A;;Code;;3;00;E 2
;186;SEG01.S;146;00/0094;;Code;;3;00;E 2
;187;SEG01.S;147;00/0097;;Code;;3;00;E 2
;199;SEG01.S;159;00/00B3;;Code;;3;00;E 2
;208;SEG01.S;165;00/00BE;;Code;;3;00;E 2
;209;SEG01.S;166;00/00C1;;Code;;3;00;E 2
;223;SEG01.S;177;00/00D5;;Code;;3;00;E 2
;224;SEG01.S;178;00/00D8;;Code;;3;00;E 2
;228;SEG01.S;182;00/00E2;;Code;;3;00;E 2
;246;SEG01.S;197;00/00ED;;Code;;3;00;E 2
;255;SEG01.S;203;00/00F8;;Code;;3;00;E 2
;257;SEG01.S;205;00/00FC;;Code;;3;00;E 2
;258;SEG01.S;206;00/00FF;;Code;;3;00;E 2
;272;SEG01.S;217;00/0113;;Code;;3;00;E 2
;274;SEG01.S;219;00/0117;;Code;;3;00;E 2
;275;SEG01.S;220;00/011A;;Code;;3;00;E 2
;289;SEG01.S;231;00/012E;;Code;;3;00;E 2
;299;SEG01.S;238;00/0139;;Code;;4;00;E 3
;301;SEG01.S;240;00/013D;L0101E1;Code;;2;00;
;327;SEG01.S;266;00/013F;;Code;;3;10;E 2
;329;SEG01.S;268;00/0146;;Code;;3;10;E 2
;333;SEG01.S;272;00/014F;;Code;;4;00;3
;341;SEG01.S;280;00/015B;L01021D;Code;;1;00;
;349;SEG01.S;288;00/0166;;Code;;3;00;E 2
;351;SEG01.S;290;00/016A;;Code;;3;00;E 2
;352;SEG01.S;291;00/016D;;Code;;3;00;E 2
;373;SEG01.S;309;00/0189;L010254;Code;;1;00;
;457;SEG01.S;363;00/01DA;;Code;;3;00;E 2
;476;SEG01.S;376;00/01F2;;Data;ADRL;4;00;E 3
;32;SEG02.S;26;00/0006;L020006;Data;DB;1;00;
;35;SEG02.S;29;00/0008;L020008;Data;DB;1;00;
;38;SEG02.S;32;00/000A;L02000A;Data;DB;1;00;
;41;SEG02.S;35;00/000C;L02C036;Data;DB;1;00;
;43;SEG02.S;37;00/000D;L02C034;Data;DB;1;00;
;45;SEG02.S;39;00/000E;L02000D;Data;DB;1;00;
;48;SEG02.S;42;00/0010;L02000F;Data;DB;1;00;
;51;SEG02.S;45;00/0012;L020011;Data;DW;2;00;
;53;SEG02.S;47;00/0014;L020013;Data;DW;2;00;
;56;SEG02.S;50;00/0016;L020015;Data;DB;1;00;
;59;SEG02.S;53;00/0018;L020017;Data;DB;1;00;
;62;SEG02.S;56;00/001A;L020019;Data;DB;1;00;
;65;SEG02.S;59;00/001C;L02001B;Data;DB;1;00;
;68;SEG02.S;62;00/001E;L02001D;Data;DB;1;00;
;71;SEG02.S;65;00/0020;L02001F;Data;DB;1;00;
;74;SEG02.S;68;00/0022;L020021;Data;DB;1;00;
;77;SEG02.S;71;00/0024;L020023;Data;DB;1;00;
;80;SEG02.S;74;00/0026;L020025;Data;DB;1;00;
;83;SEG02.S;77;00/0028;L020027;Data;DB;1;00;
;86;SEG02.S;80;00/002A;L020029;Data;DB;1;00;
;89;SEG02.S;83;00/002C;L02002B;Data;DB;1;00;
;92;SEG02.S;86;00/002E;L02002D;Data;DB;1;00;
;99;SEG02.S;93;00/0034;L020033;Data;DB;1;00;
;102;SEG02.S;96;00/0036;L020035;Data;DB;1;00;
;105;SEG02.S;99;00/0038;L020037;Data;DB;1;00;
;108;SEG02.S;102;00/003A;L020039;Data;DB;1;00;
;119;SEG02.S;113;00/0044;L020043;Data;DB;1;00;
;122;SEG02.S;116;00/0046;L020045;Data;DB;1;00;
;125;SEG02.S;119;00/0048;L020047;Data;DB;1;00;
;128;SEG02.S;122;00/004A;L020049;Data;DB;1;00;
;131;SEG02.S;125;00/004C;L02004B;Data;DB;1;00;
;134;SEG02.S;128;00/004E;L02004D;Data;DB;1;00;
;137;SEG02.S;131;00/0050;L02004F;Data;DB;1;00;
;140;SEG02.S;134;00/0052;L020051;Data;DB;1;00;
;143;SEG02.S;137;00/0054;L020053;Data;DB;1;00;
;146;SEG02.S;140;00/0056;L020055;Data;DB;1;00;
;151;SEG02.S;145;00/005A;L020059;Data;DB;1;00;
;154;SEG02.S;148;00/005C;L02005B;Data;DB;1;00;
;157;SEG02.S;151;00/005E;L02005D;Data;DB;1;00;
;162;SEG02.S;156;00/0062;L020061;Data;DB;1;00;
;165;SEG02.S;159;00/0064;L020063;Data;DB;1;00;
;168;SEG02.S;162;00/0066;L020065;Data;DB;1;00;
;171;SEG02.S;165;00/0068;L020067;Data;DB;1;00;
;174;SEG02.S;168;00/006A;L020069;Data;DB;1;00;
;177;SEG02.S;171;00/006C;L02006B;Data;DB;1;00;
;180;SEG02.S;174;00/006E;L02006D;Data;DB;1;00;
;183;SEG02.S;177;00/0070;L02006F;Data;DB;1;00;
;186;SEG02.S;180;00/0072;L020071;Data;DB;1;00;
;189;SEG02.S;183;00/0074;L020073;Data;DB;1;00;
;192;SEG02.S;186;00/0076;L020075;Data;DB;1;00;
;195;SEG02.S;189;00/0078;L020077;Data;DB;1;00;
;198;SEG02.S;192;00/007A;L020079;Data;DB;1;00;
;209;SEG02.S;203;00/0084;L020083;Data;DB;1;00;
;212;SEG02.S;206;00/0086;L020085;Data;DB;1;00;
;215;SEG02.S;209;00/0088;L020087;Data;DB;1;00;
;218;SEG02.S;212;00/008A;L020089;Data;DB;1;00;
;221;SEG02.S;215;00/008C;L02008B;Data;DB;1;00;
;224;SEG02.S;218;00/008E;L02008D;Data;DB;1;00;
;227;SEG02.S;221;00/0090;L02008F;Data;DB;1;00;
;230;SEG02.S;224;00/0092;L020091;Data;DB;1;00;
;233;SEG02.S;227;00/0094;L020093;Data;DB;1;00;
;236;SEG02.S;230;00/0096;L020095;Data;DB;1;00;
;239;SEG02.S;233;00/0098;L020097;Data;DB;1;00;
;242;SEG02.S;236;00/009A;L020099;Data;DB;1;00;
;245;SEG02.S;239;00/009C;L02009B;Data;DB;1;00;
;248;SEG02.S;242;00/009E;L02009D;Data;DB;1;00;
;251;SEG02.S;245;00/00A0;L02009F;Data;DB;1;00;
;253;SEG02.S;247;00/00A1;L0200A0;Data;DB;1;00;
;256;SEG02.S;250;00/00A3;L0200A2;Data;DB;1;00;
;259;SEG02.S;253;00/00A5;L0200A4;Data;DB;1;00;
;262;SEG02.S;256;00/00A7;L0200A6;Data;DB;1;00;
;265;SEG02.S;259;00/00A9;L0200A8;Data;DB;1;00;
;268;SEG02.S;262;00/00AB;L0200AA;Data;DB;1;00;
;271;SEG02.S;265;00/00AD;L0200AC;Data;DB;1;00;
;274;SEG02.S;268;00/00AF;L0200AE;Data;DB;1;00;
;277;SEG02.S;271;00/00B1;L0200B0;Data;DB;1;00;
;280;SEG02.S;274;00/00B3;L0200B2;Data;DB;1;00;
;283;SEG02.S;277;00/00B5;L0200B4;Data;DB;1;00;
;286;SEG02.S;280;00/00B7;L0200B6;Data;DB;1;00;
;289;SEG02.S;283;00/00B9;L0200B8;Data;DB;1;00;
;292;SEG02.S;286;00/00BB;L0200BA;Data;DB;1;00;
;295;SEG02.S;289;00/00BD;L0200BC;Data;DB;1;00;
;298;SEG02.S;292;00/00BF;L0200BE;Data;DB;1;00;
;301;SEG02.S;295;00/00C1;L0200C0;Data;DB;1;00;
;304;SEG02.S;298;00/00C3;L0200C2;Data;DB;1;00;
