------+--------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
 Line | # File        Line | Line Type   | MX |  Reloc  | Size | Address   Object Code |  Source Code                                                      
------+--------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
    1 |  1   INIT.S      1 | Comment     | 11 |         |    0 | 00/0000               | *
    2 |  1   INIT.S      2 | Comment     | 11 |         |    0 | 00/0000               | * Your tour of the Apple IIgs
    3 |  1   INIT.S      3 | Comment     | 11 |         |    0 | 00/0000               | *
    4 |  1   INIT.S      4 | Comment     | 11 |         |    0 | 00/0000               | * (c) 1989, Apple Computer
    5 |  1   INIT.S      5 | Comment     | 11 |         |    0 | 00/0000               | * (s) 2020, Antoine Vignau
    6 |  1   INIT.S      6 | Comment     | 11 |         |    0 | 00/0000               | *
    7 |  1   INIT.S      7 | Empty       | 11 |         |    0 | 00/0000               |                                  
    8 |  1   INIT.S      8 | Directive   | 00 |         |    0 | 00/0000               |             mx    %00            
    9 |  1   INIT.S      9 | Directive   | 00 |         |    0 | 00/0000               |             rel                  
   10 |  1   INIT.S     10 | Directive   | 00 |         |    0 | 00/0000               |             lst   off            
   11 |  1   INIT.S     11 | Empty       | 00 |         |    0 | 00/0000               |                                  
   12 |  1   INIT.S     12 | Comment     | 00 |         |    0 | 00/0000               | *-------------------------------
   13 |  1   INIT.S     13 | Empty       | 00 |         |    0 | 00/0000               |                                  
   14 |  1   INIT.S     14 | Directive   | 00 |         |    0 | 00/0000               |             use   INIT.E         
   15 |  2 INIT.E.s      1 | Empty       | 00 |         |    0 | 00/0000               |                                  
   16 |  2 INIT.E.s      2 | Comment     | 00 |         |    0 | 00/0000               | * TFBD generated equates
   17 |  2 INIT.E.s      3 | Comment     | 00 |         |    0 | 00/0000               | *    (c) PHC 1992,93
   18 |  2 INIT.E.s      4 | Empty       | 00 |         |    0 | 00/0000               |                                  
   19 |  2 INIT.E.s      5 | Empty       | 00 |         |    0 | 00/0000               |                                  
   20 |  2 INIT.E.s      6 | Equivalence | 00 |         |    0 | 00/0000               | GSOS2       EQU   $E100B0        
   21 |  2 INIT.E.s      7 | Empty       | 00 |         |    0 | 00/0000               |                                  
   22 |  1   INIT.S     15 | Directive   | 00 |         |    0 | 00/0000               |             use   INIT.X         
   23 |  3 INIT.X.s      1 | Empty       | 00 |         |    0 | 00/0000               |                                  
   24 |  3 INIT.X.s      2 | Comment     | 00 |         |    0 | 00/0000               | * TFBD generated externals
   25 |  3 INIT.X.s      3 | Comment     | 00 |         |    0 | 00/0000               | *     (c) PHC 1992,93
   26 |  3 INIT.X.s      4 | Empty       | 00 |         |    0 | 00/0000               |                                  
   27 |  3 INIT.X.s      5 | Empty       | 00 |         |    0 | 00/0000               |                                  
   28 |  3 INIT.X.s      6 | External    | 00 |         |    0 | 00/0000               | L0B0004     EXT                  
   29 |  3 INIT.X.s      7 | External    | 00 |         |    0 | 00/0000               | L0110F7     EXT                  
   30 |  3 INIT.X.s      8 | External    | 00 |         |    0 | 00/0000               | L010922     EXT                  
   31 |  3 INIT.X.s      9 | External    | 00 |         |    0 | 00/0000               | L010B7A     EXT                  
   32 |  3 INIT.X.s     10 | External    | 00 |         |    0 | 00/0000               | L010B98     EXT                  
   33 |  3 INIT.X.s     11 | External    | 00 |         |    0 | 00/0000               | L0B0002     EXT                  
   34 |  3 INIT.X.s     12 | External    | 00 |         |    0 | 00/0000               | L0B0000     EXT                  
   35 |  3 INIT.X.s     13 | External    | 00 |         |    0 | 00/0000               | L0B0088     EXT                  
   36 |  3 INIT.X.s     14 | External    | 00 |         |    0 | 00/0000               | L0B0082     EXT                  
   37 |  3 INIT.X.s     15 | External    | 00 |         |    0 | 00/0000               | L0C1220     EXT                  
   38 |  3 INIT.X.s     16 | External    | 00 |         |    0 | 00/0000               | L021DFD     EXT                  
   39 |  3 INIT.X.s     17 | External    | 00 |         |    0 | 00/0000               | L010AAE     EXT                  
   40 |  3 INIT.X.s     18 | External    | 00 |         |    0 | 00/0000               | L0C10BE     EXT                  
   41 |  3 INIT.X.s     19 | External    | 00 |         |    0 | 00/0000               | L03117F     EXT                  
   42 |  3 INIT.X.s     20 | External    | 00 |         |    0 | 00/0000               | L0C1AB0     EXT                  
   43 |  3 INIT.X.s     21 | External    | 00 |         |    0 | 00/0000               | L0C0F7A     EXT                  
   44 |  3 INIT.X.s     22 | External    | 00 |         |    0 | 00/0000               | L040E53     EXT                  
   45 |  3 INIT.X.s     23 | External    | 00 |         |    0 | 00/0000               | L0402DB     EXT                  
   46 |  3 INIT.X.s     24 | External    | 00 |         |    0 | 00/0000               | L030F81     EXT                  
   47 |  3 INIT.X.s     25 | External    | 00 |         |    0 | 00/0000               | L031208     EXT                  
   48 |  3 INIT.X.s     26 | External    | 00 |         |    0 | 00/0000               | L0C1AA2     EXT                  
   49 |  3 INIT.X.s     27 | External    | 00 |         |    0 | 00/0000               | L0C1A9C     EXT                  
   50 |  3 INIT.X.s     28 | External    | 00 |         |    0 | 00/0000               | L0B0066     EXT                  
   51 |  3 INIT.X.s     29 | External    | 00 |         |    0 | 00/0000               | L0B0084     EXT                  
   52 |  3 INIT.X.s     30 | External    | 00 |         |    0 | 00/0000               | L0B006A     EXT                  
   53 |  3 INIT.X.s     31 | External    | 00 |         |    0 | 00/0000               | L0B006C     EXT                  
   54 |  3 INIT.X.s     32 | External    | 00 |         |    0 | 00/0000               | L0B0078     EXT                  
   55 |  3 INIT.X.s     33 | External    | 00 |         |    0 | 00/0000               | L0B0070     EXT                  
   56 |  3 INIT.X.s     34 | External    | 00 |         |    0 | 00/0000               | L0B009C     EXT                  
   57 |  3 INIT.X.s     35 | External    | 00 |         |    0 | 00/0000               | L0B008E     EXT                  
   58 |  3 INIT.X.s     36 | External    | 00 |         |    0 | 00/0000               | L0B0096     EXT                  
   59 |  3 INIT.X.s     37 | External    | 00 |         |    0 | 00/0000               | L0B00A0     EXT                  
   60 |  3 INIT.X.s     38 | External    | 00 |         |    0 | 00/0000               | L0B009A     EXT                  
   61 |  3 INIT.X.s     39 | External    | 00 |         |    0 | 00/0000               | L0B00A2     EXT                  
   62 |  3 INIT.X.s     40 | External    | 00 |         |    0 | 00/0000               | L0B0072     EXT                  
   63 |  3 INIT.X.s     41 | External    | 00 |         |    0 | 00/0000               | L0B00A8     EXT                  
   64 |  3 INIT.X.s     42 | External    | 00 |         |    0 | 00/0000               | L0B00AA     EXT                  
   65 |  3 INIT.X.s     43 | External    | 00 |         |    0 | 00/0000               | L0B0092     EXT                  
   66 |  3 INIT.X.s     44 | External    | 00 |         |    0 | 00/0000               | L0B008A     EXT                  
   67 |  3 INIT.X.s     45 | External    | 00 |         |    0 | 00/0000               | L0B008C     EXT                  
   68 |  3 INIT.X.s     46 | External    | 00 |         |    0 | 00/0000               | L0B007C     EXT                  
   69 |  3 INIT.X.s     47 | External    | 00 |         |    0 | 00/0000               | L0C1AB2     EXT                  
   70 |  3 INIT.X.s     48 | External    | 00 |         |    0 | 00/0000               | L0C0759     EXT                  
   71 |  3 INIT.X.s     49 | External    | 00 |         |    0 | 00/0000               | L0C072F     EXT                  
   72 |  3 INIT.X.s     50 | External    | 00 |         |    0 | 00/0000               | L0C1AA4     EXT                  
   73 |  3 INIT.X.s     51 | External    | 00 |         |    0 | 00/0000               | L0C0CDC     EXT                  
   74 |  3 INIT.X.s     52 | External    | 00 |         |    0 | 00/0000               | L0C03BB     EXT                  
   75 |  3 INIT.X.s     53 | External    | 00 |         |    0 | 00/0000               | L0C1188     EXT                  
   76 |  3 INIT.X.s     54 | External    | 00 |         |    0 | 00/0000               | L0C0FA2     EXT                  
   77 |  3 INIT.X.s     55 | External    | 00 |         |    0 | 00/0000               | L0B0034     EXT                  
   78 |  3 INIT.X.s     56 | External    | 00 |         |    0 | 00/0000               | L0B0032     EXT                  
   79 |  3 INIT.X.s     57 | External    | 00 |         |    0 | 00/0000               | L0B0036     EXT                  
   80 |  3 INIT.X.s     58 | External    | 00 |         |    0 | 00/0000               | L0B0030     EXT                  
   81 |  3 INIT.X.s     59 | External    | 00 |         |    0 | 00/0000               | L0B002E     EXT                  
   82 |  3 INIT.X.s     60 | External    | 00 |         |    0 | 00/0000               | L0B003A     EXT                  
   83 |  3 INIT.X.s     61 | External    | 00 |         |    0 | 00/0000               | L0B00DF     EXT                  
   84 |  3 INIT.X.s     62 | External    | 00 |         |    0 | 00/0000               | L0B00DD     EXT                  
   85 |  3 INIT.X.s     63 | External    | 00 |         |    0 | 00/0000               | L0B0094     EXT                  
   86 |  3 INIT.X.s     64 | External    | 00 |         |    0 | 00/0000               | L0B00DB     EXT                  
   87 |  3 INIT.X.s     65 | External    | 00 |         |    0 | 00/0000               | L0B00D9     EXT                  
   88 |  3 INIT.X.s     66 | External    | 00 |         |    0 | 00/0000               | L0B003E     EXT                  
   89 |  3 INIT.X.s     67 | External    | 00 |         |    0 | 00/0000               | L0B0042     EXT                  
   90 |  3 INIT.X.s     68 | External    | 00 |         |    0 | 00/0000               | L0B0044     EXT                  
   91 |  3 INIT.X.s     69 | External    | 00 |         |    0 | 00/0000               | L0C0C32     EXT                  
   92 |  3 INIT.X.s     70 | External    | 00 |         |    0 | 00/0000               | L0C0B88     EXT                  
   93 |  3 INIT.X.s     71 | External    | 00 |         |    0 | 00/0000               | L0C00E6     EXT                  
   94 |  3 INIT.X.s     72 | External    | 00 |         |    0 | 00/0000               | L0C0FEE     EXT                  
   95 |  3 INIT.X.s     73 | External    | 00 |         |    0 | 00/0000               | L0B00A6     EXT                  
   96 |  3 INIT.X.s     74 | External    | 00 |         |    0 | 00/0000               | L0B007E     EXT                  
   97 |  3 INIT.X.s     75 | External    | 00 |         |    0 | 00/0000               | L0B0107     EXT                  
   98 |  3 INIT.X.s     76 | External    | 00 |         |    0 | 00/0000               | L0B010B     EXT                  
   99 |  3 INIT.X.s     77 | External    | 00 |         |    0 | 00/0000               | L0B00F1     EXT                  
  100 |  3 INIT.X.s     78 | External    | 00 |         |    0 | 00/0000               | L0B00EF     EXT                  
  101 |  3 INIT.X.s     79 | External    | 00 |         |    0 | 00/0000               | L0B00FB     EXT                  
  102 |  3 INIT.X.s     80 | External    | 00 |         |    0 | 00/0000               | L0B00FD     EXT                  
  103 |  3 INIT.X.s     81 | External    | 00 |         |    0 | 00/0000               | L0B0101     EXT                  
  104 |  3 INIT.X.s     82 | External    | 00 |         |    0 | 00/0000               | L0B0105     EXT                  
  105 |  3 INIT.X.s     83 | External    | 00 |         |    0 | 00/0000               | L0B0109     EXT                  
  106 |  3 INIT.X.s     84 | External    | 00 |         |    0 | 00/0000               | L0B0119     EXT                  
  107 |  3 INIT.X.s     85 | External    | 00 |         |    0 | 00/0000               | L0B011B     EXT                  
  108 |  3 INIT.X.s     86 | External    | 00 |         |    0 | 00/0000               | L0C24F4     EXT                  
  109 |  3 INIT.X.s     87 | External    | 00 |         |    0 | 00/0000               | L0B0054     EXT                  
  110 |  3 INIT.X.s     88 | External    | 00 |         |    0 | 00/0000               | L0B0052     EXT                  
  111 |  3 INIT.X.s     89 | External    | 00 |         |    0 | 00/0000               | L0B0058     EXT                  
  112 |  3 INIT.X.s     90 | External    | 00 |         |    0 | 00/0000               | L0B0056     EXT                  
  113 |  3 INIT.X.s     91 | External    | 00 |         |    0 | 00/0000               | L0B00AE     EXT                  
  114 |  3 INIT.X.s     92 | External    | 00 |         |    0 | 00/0000               | L0B00BF     EXT                  
  115 |  3 INIT.X.s     93 | External    | 00 |         |    0 | 00/0000               | L0B00BD     EXT                  
  116 |  3 INIT.X.s     94 | External    | 00 |         |    0 | 00/0000               | L0B00E3     EXT                  
  117 |  3 INIT.X.s     95 | External    | 00 |         |    0 | 00/0000               | L0B00E1     EXT                  
  118 |  3 INIT.X.s     96 | External    | 00 |         |    0 | 00/0000               | L0C2356     EXT                  
